年份,pi_Employment,si_Employment,ti_Employment
2000,108.05494505494516,172.30769230769147,96.23076923076951
2001,105.24175824175836,180.7692307692305,110.42307692307804
2002,102.42857142857156,189.2307692307695,124.61538461538657
2003,99.61538461538476,197.69230769230853,138.80769230769147
2004,102.0,182.0,166.0
2005,93.0,198.0,165.0
2006,92.0,222.0,167.0
2007,87.0,235.0,191.0
2008,84.0,245.0,204.0
2009,80.0,264.0,225.0
2010,80.0,278.0,239.0
2011,76.0,286.0,264.0
2012,72.0,289.0,276.0
2013,70.0,290.0,284.0
2014,70.0,292.0,289.0
2015,66.0,287.0,302.0
2016,67.0,272.0,324.0
2017,66.0,262.0,349.0
2018,66.0,258.0,357.0
2019,60.0,244.0,392.0
2020,57.0,257.0,407.0
2021,48.9780219780223,350.0,394.2692307692305
2022,46.164835164835495,358.461538461539,408.461538461539
