年份,pi_Employment,si_Employment,ti_Employment
2000,6.466666666666667,51.86666666666667,56.666666666666664
2001,6.466666666666667,51.86666666666667,56.666666666666664
2002,6.466666666666667,51.86666666666667,56.666666666666664
2003,6.466666666666667,51.86666666666667,56.666666666666664
2004,6.466666666666667,51.86666666666667,56.666666666666664
2005,6.466666666666667,51.86666666666667,56.666666666666664
2006,6.466666666666667,51.86666666666667,56.666666666666664
2007,10.0,42.0,47.0
2008,7.0,43.0,49.0
2009,7.0,44.0,51.0
2010,7.0,42.0,46.0
2011,6.0,46.0,51.0
2012,6.0,46.0,51.0
2013,6.0,49.0,50.0
2014,6.0,54.0,46.0
2015,6.0,55.0,47.0
2016,7.0,55.0,47.0
2017,6.0,55.0,49.0
2018,6.0,55.0,51.0
2019,6.0,67.0,92.0
2020,6.0,65.0,90.0
2021,5.0,60.0,83.0
2022,6.466666666666667,51.86666666666667,56.666666666666664
