城市,年份,0-14,15-64,65+,常住人口
city1,2000,49,178.0,36.0,0.0
city1,2010,34,209.0,47.0,285.0
city1,2020,40,225.0,72.0,306.0
city10,2000,44,142.0,30.0,0.0
city10,2010,36,141.0,38.0,231.0
city10,2020,40,157.0,53.0,221.0
city11,2000,64,247.0,48.0,0.0
city11,2010,54,329.0,68.0,431.0
city11,2020,65,371.0,104.0,480.0
city12,2000,87,0.0,0.0,0.0
city12,2010,56,310.0,96.0,467.0
city12,2020,56,268.0,128.0,452.0
city13,2000,135,0.0,0.0,0.0
city13,2010,89,317.0,65.0,473.0
city13,2020,117,289.0,93.0,497.0
city14,2000,90,132.0,12.0,0.0
city14,2010,30,234.0,24.0,287.0
city14,2020,66,174.0,30.0,285.0
city15,2000,225,0.0,0.0,0.0
city15,2010,150,575.0,125.0,865.0
city15,2020,200,525.0,175.0,905.0
city16,2000,160,745.0,60.0,0.0
city16,2010,20,230.0,25.0,285.0
city16,2020,60,185.0,35.0,285.0
city17,2000,205,571.0,52.0,0.0
city17,2010,60,1125.0,85.0,1185.0
city17,2020,255,1460.0,145.0,1830.0
city18,2000,60,350.0,0.0,0.0
city18,2010,50,335.0,65.0,445.0
city18,2020,65,335.0,105.0,525.0
city19,2000,80,315.0,55.0,0.0
city19,2010,75,385.0,70.0,520.0
city19,2020,100,490.0,110.0,560.0
city2,2000,84,0.0,0.0,0.0
city2,2010,66,478.0,94.0,620.0
city2,2020,97,502.0,147.0,745.0
city20,2000,40,140.0,25.0,0.0
city20,2010,30,135.0,35.0,225.0
city20,2020,30,135.0,55.0,220.0
city21,2000,113,490.0,84.0,0.0
city21,2010,99,654.0,117.0,810.0
city21,2020,155,837.0,201.0,1036.0
city22,2000,96,457.0,232.0,0.0
city22,2010,76,614.0,110.0,771.0
city22,2020,119,636.0,177.0,928.0
city23,2000,60,629.0,9.0,0.0
city23,2010,8,140.0,8.0,154.0
city23,2020,39,189.0,16.0,233.0
city24,2000,106,0.0,47.0,0.0
city24,2010,93,583.0,62.0,668.0
city24,2020,151,585.0,129.0,891.0
city25,2010,89,571.0,101.0,719.0
city25,2020,115,655.0,170.0,854.0
city26,2010,77,0.0,0.0,713.0
city26,2020,84,0.0,0.0,772.0
city27,2000,21,98.0,5.0,0.0
city27,2010,38,463.0,38.0,522.0
city27,2020,123,369.0,59.0,549.0
city28,2000,129,0.0,70.0,0.0
city28,2010,117,626.0,89.0,850.0
city28,2020,155,648.0,143.0,992.0
city29,2000,93,357.0,65.0,0.0
city29,2010,92,420.0,85.0,576.0
city29,2020,97,435.0,130.0,614.0
city3,2000,66,174.0,18.0,0.0
city3,2010,48,966.0,18.0,995.0
city3,2020,264,1434.0,54.0,1710.0
city30,2000,125,0.0,0.0,0.0
city30,2010,85,295.0,58.0,445.0
city30,2020,98,268.0,94.0,459.0
city31,2000,87,410.0,26.0,0.0
city31,2010,23,381.0,40.0,437.0
city31,2020,77,341.0,62.0,475.0
city32,2000,77,0.0,33.0,0.0
city32,2010,66,319.0,45.0,451.0
city32,2020,70,291.0,78.0,470.0
city33,2000,150,528.0,78.0,0.0
city33,2010,131,681.0,101.0,808.0
city33,2020,146,653.0,158.0,930.0
city34,2000,158,0.0,0.0,0.0
city34,2010,104,0.0,0.0,748.0
city34,2020,101,387.0,183.0,671.0
city35,2000,89,263.0,34.0,0.0
city35,2010,55,582.0,62.0,693.0
city35,2020,182,433.0,83.0,698.0
city36,2000,89,0.0,25.0,0.0
city36,2010,61,262.0,35.0,367.0
city36,2020,87,227.0,53.0,393.0
city37,2000,81,0.0,0.0,0.0
city37,2010,53,309.0,85.0,450.0
city37,2020,53,285.0,119.0,455.0
city38,2000,189,279.0,40.0,0.0
city38,2010,31,326.0,36.0,384.0
city38,2020,91,272.0,49.0,409.0
city39,2000,36,0.0,11.0,0.0
city39,2010,32,142.0,18.0,202.0
city39,2020,38,137.0,34.0,218.0
city4,2000,15,72.0,13.0,0.0
city4,2010,11,83.0,18.0,106.0
city4,2020,11,76.0,29.0,118.0
city40,2000,48,0.0,0.0,0.0
city40,2010,32,229.0,51.0,307.0
city40,2020,38,207.0,76.0,320.0
city5,2000,100,0.0,0.0,0.0
city5,2010,96,816.0,133.0,937.0
city5,2020,173,886.0,216.0,1271.0
city6,2000,144,276.0,30.0,0.0
city6,2010,30,642.0,36.0,687.0
city6,2020,138,732.0,66.0,943.0
city7,2000,79,295.0,56.0,0.0
city7,2010,63,353.0,75.0,470.0
city7,2020,63,345.0,119.0,506.0
city8,2000,117,0.0,0.0,0.0
city8,2010,81,0.0,0.0,481.0
city8,2020,81,271.0,104.0,464.0
city9,2000,210,336.0,42.0,0.0
city9,2010,48,468.0,54.0,588.0
city9,2020,162,372.0,72.0,612.0
