城市,年份,0-14,15-64,65+,常住人口,0-14人数,15-64人数,65+人数
city1,2000,49,178.0,36.0,0.0,0.0,0.0,0.0
city1,2010,34,209.0,47.0,285.0,33.41379310344828,205.39655172413794,46.189655172413794
city1,2020,40,225.0,72.0,306.0,36.32047477744807,204.3026706231454,65.37685459940653
city10,2000,44,142.0,30.0,0.0,0.0,0.0,0.0
city10,2010,36,141.0,38.0,231.0,38.67906976744186,151.49302325581397,40.82790697674419
city10,2020,40,157.0,53.0,221.0,35.36,138.788,46.852
city11,2000,64,247.0,48.0,0.0,0.0,0.0,0.0
city11,2010,54,329.0,68.0,431.0,51.60532150776053,314.41019955654104,64.98447893569845
city11,2020,65,371.0,104.0,480.0,57.77777777777778,329.77777777777777,92.44444444444444
city12,2010,56,310.0,96.0,467.0,56.60606060606061,313.35497835497836,97.03896103896103
city12,2020,56,268.0,128.0,452.0,56.0,268.0,128.0
city13,2010,89,317.0,65.0,473.0,89.37791932059449,318.3460721868365,65.276008492569
city13,2020,117,289.0,93.0,497.0,116.53106212424849,287.8416833667335,92.62725450901803
city14,2000,90,132.0,12.0,0.0,0.0,0.0,0.0
city14,2010,30,234.0,24.0,287.0,29.895833333333332,233.1875,23.916666666666668
city14,2020,66,174.0,30.0,285.0,69.66666666666667,183.66666666666666,31.666666666666668
city15,2010,150,575.0,125.0,865.0,152.64705882352942,585.1470588235294,127.20588235294117
city15,2020,200,525.0,175.0,905.0,201.11111111111111,527.9166666666666,175.97222222222223
city16,2000,160,745.0,60.0,0.0,0.0,0.0,0.0
city16,2010,20,230.0,25.0,285.0,20.727272727272727,238.36363636363637,25.90909090909091
city16,2020,60,185.0,35.0,285.0,61.07142857142857,188.30357142857142,35.625
city17,2000,205,571.0,52.0,0.0,0.0,0.0,0.0
city17,2010,60,1125.0,85.0,1185.0,55.98425196850393,1049.7047244094488,79.31102362204724
city17,2020,255,1460.0,145.0,1830.0,250.88709677419354,1436.4516129032259,142.66129032258064
city18,2010,50,335.0,65.0,445.0,49.44444444444444,331.27777777777777,64.27777777777777
city18,2020,65,335.0,105.0,525.0,67.57425742574257,348.26732673267327,109.15841584158416
city19,2000,80,315.0,55.0,0.0,0.0,0.0,0.0
city19,2010,75,385.0,70.0,520.0,73.58490566037736,377.7358490566038,68.67924528301887
city19,2020,100,490.0,110.0,560.0,80.0,392.0,88.0
city2,2010,66,478.0,94.0,620.0,64.13793103448276,464.5141065830721,91.34796238244515
city2,2020,97,502.0,147.0,745.0,96.86997319034853,501.3270777479893,146.8029490616622
city20,2000,40,140.0,25.0,0.0,0.0,0.0,0.0
city20,2010,30,135.0,35.0,225.0,33.75,151.875,39.375
city20,2020,30,135.0,55.0,220.0,30.0,135.0,55.0
city21,2000,113,490.0,84.0,0.0,0.0,0.0,0.0
city21,2010,99,654.0,117.0,810.0,92.17241379310344,608.8965517241379,108.93103448275862
city21,2020,155,837.0,201.0,1036.0,134.6018440905281,726.8499580888516,174.5481978206203
city22,2000,96,457.0,232.0,0.0,0.0,0.0,0.0
city22,2010,76,614.0,110.0,771.0,73.245,591.7425,106.0125
city22,2020,119,636.0,177.0,928.0,118.4892703862661,633.2703862660944,176.24034334763948
city23,2000,60,629.0,9.0,0.0,0.0,0.0,0.0
city23,2010,8,140.0,8.0,154.0,7.897435897435898,138.2051282051282,7.897435897435898
city23,2020,39,189.0,16.0,233.0,37.24180327868852,180.4795081967213,15.278688524590164
city24,2010,93,583.0,62.0,668.0,84.17886178861788,527.7018970189702,56.11924119241193
city24,2020,151,585.0,129.0,891.0,155.53872832369942,602.5838150289018,132.87745664739884
city25,2010,89,571.0,101.0,719.0,84.0880420499343,539.4862023653088,95.4257555847569
city25,2020,115,655.0,170.0,854.0,104.47872340425532,595.0744680851063,154.4468085106383
city27,2000,21,98.0,5.0,0.0,0.0,0.0,0.0
city27,2010,38,463.0,38.0,522.0,36.80148423005566,448.3970315398887,36.80148423005566
city27,2020,123,369.0,59.0,549.0,122.55353901996371,367.6606170598911,58.78584392014519
city28,2010,117,626.0,89.0,850.0,119.53125,639.5432692307693,90.92548076923077
city28,2020,155,648.0,143.0,992.0,162.5369978858351,679.5095137420719,149.95348837209303
city29,2000,93,357.0,65.0,0.0,0.0,0.0,0.0
city29,2010,92,420.0,85.0,576.0,88.76381909547739,405.22613065326635,82.01005025125629
city29,2020,97,435.0,130.0,614.0,89.96676737160121,403.4592145015106,120.57401812688822
city3,2000,66,174.0,18.0,0.0,0.0,0.0,0.0
city3,2010,48,966.0,18.0,995.0,46.27906976744186,931.3662790697674,17.3546511627907
city3,2020,264,1434.0,54.0,1710.0,257.67123287671234,1399.623287671233,52.705479452054796
city30,2010,85,295.0,58.0,445.0,86.35844748858447,299.7146118721461,58.926940639269404
city30,2020,98,268.0,94.0,459.0,97.78695652173913,267.4173913043478,93.79565217391304
city31,2000,87,410.0,26.0,0.0,0.0,0.0,0.0
city31,2010,23,381.0,40.0,437.0,22.63738738738739,374.9932432432432,39.369369369369366
city31,2020,77,341.0,62.0,475.0,76.19791666666667,337.4479166666667,61.354166666666664
city32,2010,66,319.0,45.0,451.0,69.22325581395349,334.57906976744187,47.19767441860465
city32,2020,70,291.0,78.0,470.0,74.94305239179954,311.5489749430524,83.50797266514806
city33,2000,150,528.0,78.0,0.0,0.0,0.0,0.0
city33,2010,131,681.0,101.0,808.0,115.934282584885,602.6812705366922,89.38444687842278
city33,2020,146,653.0,158.0,930.0,141.8808777429467,634.576802507837,153.5423197492163
city34,2020,101,387.0,183.0,671.0,101.0,387.0,183.0
city35,2000,89,263.0,34.0,0.0,0.0,0.0,0.0
city35,2010,55,582.0,62.0,693.0,54.527896995708154,577.0042918454935,61.467811158798284
city35,2020,182,433.0,83.0,698.0,182.0,433.0,83.0
city36,2010,61,262.0,35.0,367.0,62.53351955307262,268.58659217877096,35.87988826815643
city36,2020,87,227.0,53.0,393.0,93.16348773841962,243.08174386920982,56.75476839237057
city37,2010,53,309.0,85.0,450.0,53.355704697986575,311.0738255033557,85.57046979865771
city37,2020,53,285.0,119.0,455.0,52.76805251641138,283.7527352297593,118.47921225382932
city38,2000,189,279.0,40.0,0.0,0.0,0.0,0.0
city38,2010,31,326.0,36.0,384.0,30.290076335877863,318.53435114503816,35.17557251908397
city38,2020,91,272.0,49.0,409.0,90.3373786407767,270.0194174757282,48.64320388349515
city39,2010,32,142.0,18.0,202.0,33.666666666666664,149.39583333333334,18.9375
city39,2020,38,137.0,34.0,218.0,39.63636363636363,142.89952153110048,35.464114832535884
city4,2000,15,72.0,13.0,0.0,0.0,0.0,0.0
city4,2010,11,83.0,18.0,106.0,10.410714285714286,78.55357142857143,17.035714285714285
city4,2020,11,76.0,29.0,118.0,11.189655172413794,77.3103448275862,29.5
city40,2010,32,229.0,51.0,307.0,31.487179487179485,225.3301282051282,50.18269230769231
city40,2020,38,207.0,76.0,320.0,37.8816199376947,206.3551401869159,75.7632398753894
city5,2010,96,816.0,133.0,937.0,86.07846889952152,731.666985645933,119.25454545454545
city5,2020,173,886.0,216.0,1271.0,172.4572549019608,883.2203921568628,215.32235294117646
city6,2000,144,276.0,30.0,0.0,0.0,0.0,0.0
city6,2010,30,642.0,36.0,687.0,29.110169491525422,622.957627118644,34.932203389830505
city6,2020,138,732.0,66.0,943.0,139.03205128205127,737.474358974359,66.49358974358974
city7,2000,79,295.0,56.0,0.0,0.0,0.0,0.0
city7,2010,63,353.0,75.0,470.0,60.30549898167006,337.9022403258656,71.79226069246435
city7,2020,63,345.0,119.0,506.0,60.48956356736243,331.25237191650854,114.25806451612904
city8,2020,81,271.0,104.0,464.0,82.42105263157895,275.7543859649123,105.82456140350877
city9,2000,210,336.0,42.0,0.0,0.0,0.0,0.0
city9,2010,48,468.0,54.0,588.0,49.51578947368421,482.77894736842103,55.705263157894734
city9,2020,162,372.0,72.0,612.0,163.6039603960396,375.6831683168317,72.7128712871287
