年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,ruralincome_polynomial_predicted,cityincome,wage2022,target
2000.0,0.0,522.3534515,179.5620521,59.857808857809005,3.0,42.25,128.46176470588398,70.45441176470558,241.4176470588245,0.0,0.0,,509.0
2001.0,937.0,509.0,0.0,60.81585081585081,4.0,40.5,135.02500000000146,76.39999999999964,252.15000000000143,0.0,0.0,11984.0,540.16937
2002.0,916.0,540.16937,224.9192757,61.77389277389284,4.0,45.0,111.0,67.0,223.0,0.0,0.0,13780.0,549.0773293
2003.0,924.0,549.0773293,247.5978876,62.73193473193487,4.0,39.0,140.0,81.0,260.0,0.0,0.0,15796.0,557.9852886
2004.0,934.0,557.9852886,270.2764994,63.68997668997668,3.0,35.0,150.0,89.0,275.0,0.0,0.0,18928.0,566.8932478
2005.0,946.0,566.8932478,292.9551113,64.6480186480187,3.0,34.0,159.0,96.0,289.0,0.0,0.0,22124.0,575.8012071
2006.0,956.0,575.8012071,315.6337231,65.60606060606074,3.0,30.0,172.0,106.0,308.0,0.0,0.0,25600.0,584.0
2007.0,964.0,584.0,458.0,67.0,3.0,28.0,183.0,114.0,325.0,0.0,0.0,29656.0,599.0
2008.0,970.0,599.0,462.0,67.0,3.0,26.0,199.0,125.0,350.0,0.0,0.0,34372.0,611.0
2009.0,973.0,611.0,464.0,68.0,3.0,24.0,200.0,140.0,364.0,0.0,0.0,38844.0,620.0
2010.0,1008.0,620.0,466.0,68.0,3.0,23.0,210.0,149.0,382.0,0.0,0.0,43344.0,638.0
2011.0,1011.0,638.0,467.0,71.0,3.0,20.0,212.0,154.0,386.0,17258.9333345294,32463.75757753849,47004.0,643.0
2012.0,1016.0,643.0,468.0,72.0,2.0,18.0,224.0,147.0,389.0,18508.0,35660.0,51516.0,647.0
2013.0,1401.0,647.0,470.0,73.0,2.0,18.0,223.0,149.0,389.0,20584.0,38995.0,56884.0,648.0
2014.0,1031.0,648.0,472.0,74.0,2.0,18.0,221.0,151.0,390.0,22264.0,41730.0,60580.0,650.0
2015.0,1040.0,650.0,477.0,75.0,2.0,18.0,219.0,153.0,390.0,24152.0,45125.0,68024.0,651.0
2016.0,1990.0,651.0,481.0,75.0,2.0,17.0,215.0,155.0,387.0,26156.0,48625.0,76016.0,653.0
2017.0,1172.1802197802172,653.0,486.0,76.0,2.0,17.0,215.0,155.0,387.0,28356.0,52655.0,84928.0,655.0
2018.0,2052.0,655.0,493.0,76.0,2.0,16.0,214.0,159.0,388.0,30784.0,56985.0,89548.0,657.0
2019.0,2089.0,657.0,497.0,76.0,2.0,15.0,213.0,159.0,387.0,33572.0,61915.0,90284.0,745.0
2020.0,1226.846153846156,745.0,503.0,82.0,2.0,14.0,206.0,199.0,419.0,35748.0,64710.0,105756.0,746.0
2021.0,1245.0681318681309,746.0,509.0,83.0,3.0,13.0,207.0,199.0,419.0,39620.0,70480.0,115748.0,
2022.0,0.0,718.3285553,678.4915126,83.0,3.0,3.75,272.8529411764721,201.2573529411765,477.5294117647063,41932.0,73330.0,120691.2180416584,
