年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,per_income,per_consumption,cityincome,wage2022,target
2000.0,0.0,585.7,93.775,98.24175824175823,3.0,1.1433566433566398,317.1480186480185,122.19580419580598,309.0,0.0,0.0,0.0,0.0,,701.0
2001.0,3710.0,701.0,125.0,98.32417582417582,2.0,1.0874125874125866,323.90326340326465,146.26573426574032,333.0,0.0,0.0,0.0,0.0,23036.0,725.0
2002.0,3823.0,725.0,132.0,98.4065934065934,2.0,1.0314685314685337,330.658508158509,170.3356643356674,359.0,0.0,0.0,0.0,0.0,25940.0,747.0
2003.0,3985.0,747.0,139.0,98.48901098901098,3.0,0.9755244755244804,337.41375291375334,194.40559440559448,422.0,0.0,0.0,0.0,0.0,28216.0,778.0
2004.0,4101.0,778.0,151.0,98.57142857142856,3.0,0.9195804195804128,344.1689976689977,218.4755244755288,456.0,0.0,0.0,0.0,0.0,30608.0,801.0
2005.0,4239.0,801.0,165.0,98.65384615384616,2.0,0.8636363636363598,350.92424242424204,242.54545454545587,576.0,0.0,0.0,0.0,0.0,31928.0,828.0
2006.0,4334.0,828.0,182.0,99.0,2.0,2.0,372.0,274.0,648.0,0.0,0.0,0.0,0.0,32476.0,871.0
2007.0,4412.0,871.0,197.0,99.0,2.0,1.0,355.0,300.0,656.0,0.0,0.0,0.0,0.0,35104.0,912.0
2008.0,4887.0,912.0,212.0,99.0,2.0,1.0,362.0,307.0,670.0,0.0,0.0,0.0,0.0,38796.0,954.0
2009.0,5095.0,954.0,228.0,99.0,3.0,0.0,374.0,318.0,692.0,0.0,0.0,0.0,0.0,43452.0,995.0
2010.0,5311.0,995.0,241.0,99.0,3.0,0.0,390.0,367.0,758.0,0.0,0.0,0.0,0.0,46720.0,1037.0
2011.0,5360.0,1037.0,251.0,99.0,2.0,0.0,383.0,381.0,765.0,22804.0,0.0,0.0,36505.0,50456.0,1123.0
2012.0,5282.0,1123.0,268.0,99.0,2.0,0.0,373.0,398.0,771.0,24080.0,0.0,0.0,40740.0,55140.0,1196.0
2013.0,5323.0,1196.0,288.0,99.0,2.0,0.0,437.0,462.0,899.0,26728.0,0.0,0.0,44650.0,59008.0,1257.0
2014.0,5398.0,1257.0,310.0,99.0,2.0,0.0,432.0,468.0,900.0,28812.0,0.0,0.0,40945.0,62616.0,1318.0
2015.0,7081.0,1318.0,332.0,99.0,2.0,0.0,423.0,483.0,906.0,28852.0,40948.0,28852.0,44630.0,72648.0,1408.0
2016.0,7518.0,1408.0,355.0,100.0,2.0,0.0,418.0,508.0,926.0,32356.0,44632.0,32356.0,48695.0,81032.0,1495.0
2017.0,7947.0,1495.0,385.0,100.0,2.0,2.0,419.0,522.0,943.0,36480.0,48692.0,36480.0,52935.0,89756.0,1587.0
2018.0,8341.0,1587.0,435.0,100.0,2.0,2.0,515.0,775.0,1050.0,38320.0,52936.0,38320.0,57540.0,94597.8823530674,1666.0
2019.0,8611.0,1666.0,455.0,100.0,2.0,1.0,509.0,773.0,1230.0,40532.0,57544.0,40532.0,62520.0,102656.47058796884,1710.0
2020.0,8877.0,1710.0,495.0,100.0,2.0,1.0,479.0,759.0,1240.0,43112.0,62520.0,43112.0,64875.0,111160.60268223286,1763.0
2021.0,8901.0,1763.0,514.0,100.0,2.0,1.0,486.0,758.0,1245.0,40580.0,64876.0,40580.0,70845.0,120110.27863633633,
2022.0,0.0,1601.55,429.5338235,100.0,1.813725490196077,-0.0874125874125866,465.7634032634032,651.734265734267,1221.4656862745032,46284.0,70842.0,46280.0,76651.09091114998,129505.4984496832,
