年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,ruralincome_polynomial_predicted,rural_residents_consumption,per_income,per_consumption,cityincome,wage2022,target
2000.0,0.0,389.3,380.175,43.44505494505529,3.088235294117624,86.1585081585082,85.21561771561778,49.30652680652656,165.59478021977998,0.0,0.0,0.0,0.0,0.0,0.0,,396.0
2001.0,414.0,396.0,381.0,44.82417582417611,2.0,85.67249417249423,86.13170163170162,50.495337995338105,169.5,0.0,0.0,0.0,0.0,0.0,0.0,9100.0,403.0
2002.0,1368.5,403.0,381.0,46.20329670329693,3.0,85.18648018648014,87.04778554778568,51.68414918414919,173.5,0.0,0.0,0.0,0.0,0.0,0.0,10260.0,405.0
2003.0,424.0,405.0,381.0,47.58241758241775,3.0,84.70046620046617,87.96386946386951,52.87296037296028,179.0,0.0,0.0,0.0,0.0,0.0,0.0,11168.0,406.0
2004.0,426.0,406.0,382.0,48.96153846153857,3.0,84.2144522144522,88.87995337995335,54.061771561771366,143.5,0.0,0.0,0.0,0.0,0.0,0.0,12404.0,410.0
2005.0,430.0,410.0,386.0,57.0,3.0,83.72843822843822,89.79603729603741,55.25058275058245,165.0,0.0,0.0,0.0,0.0,0.0,0.0,13736.0,410.0
2006.0,430.0,410.0,386.0,49.0,3.0,83.24242424242425,90.71212121212125,56.439393939394,168.0,0.0,0.0,0.0,0.0,0.0,0.0,15028.0,415.0
2007.0,431.0,415.0,387.0,49.0,3.0,85.0,81.0,55.0,170.5,0.0,0.0,0.0,0.0,0.0,0.0,16660.0,421.0
2008.0,432.0,421.0,388.0,49.0,3.0,86.0,89.0,58.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,19376.0,428.0
2009.0,449.0,428.0,390.0,50.0,3.0,80.0,93.0,60.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,21672.0,437.0
2010.0,458.0,437.0,392.0,62.0,2.0,82.0,91.0,60.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,26614.308239340786,445.0
2011.0,467.0,445.0,392.0,63.0,2.0,78.0,106.0,66.0,169.0,15558.0,8586.0,6411.0,0.0,0.0,21150.0,37492.0,448.0
2012.0,468.0,448.0,394.0,63.0,2.0,77.0,110.0,66.0,173.5,17076.0,9993.0,7608.0,0.0,0.0,23922.0,31908.0,451.0
2013.0,472.0,451.0,392.0,64.0,2.0,76.0,105.0,67.0,170.5,18447.0,11343.0,8355.0,0.0,0.0,27015.0,37984.0,453.0
2014.0,473.0,453.0,393.0,64.0,2.0,79.0,100.0,66.0,169.5,19905.0,12684.0,9396.0,0.0,0.0,29772.0,42848.0,456.0
2015.0,475.0,456.0,393.0,64.0,2.0,81.0,96.0,66.0,170.0,16761.0,12744.0,9189.0,20584.0,14256.0,24975.0,48164.0,458.0
2016.0,482.0,458.0,391.0,64.0,2.0,79.0,96.0,68.0,170.0,18330.0,13815.0,10323.0,22364.0,15609.0,27114.0,54104.0,462.0
2017.0,486.0,462.0,394.0,64.0,2.0,79.0,96.0,69.0,171.0,20457.0,15225.0,11583.0,24424.0,17280.0,29556.0,61364.0,465.0
2018.0,489.0,465.0,396.0,65.0,2.0,79.0,97.0,69.0,170.5,22905.0,16473.0,12654.0,26848.0,19302.0,32475.0,66635.7375049591,470.0
2019.0,495.0,470.0,399.0,66.0,2.0,78.0,87.0,116.0,171.0,23235.0,18153.0,13041.0,29544.0,19749.0,35463.0,73282.55421710014,475.0
2020.0,498.0,475.0,400.0,68.0,2.0,78.0,87.0,108.0,188.5,25677.0,19872.0,13641.0,32320.0,21645.0,38595.0,80294.73494124413,480.0
2021.0,504.0,480.0,402.0,68.0,2.0,32.0,84.0,141.0,194.0,25476.0,21129.0,14727.0,33664.0,21897.0,39921.0,87672.27967727184,
2022.0,0.0,488.4941176,400.5897059,73.78571428571468,2.0,75.46620046620046,105.36946386946396,75.46037296037275,181.9898998060762,27912.0,23376.0,16422.0,37068.0,24192.0,43620.0,95415.18842542171,
