年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,cityincome,wage2022,target
2000.0,0.0,340.6200466,351.35,34.042647058823604,3.448529411764696,0.7582417582417662,10.417582417582707,13.14285714285711,178.8058823529409,0.0,0.0,,343.5081585
2001.0,757.0494505494516,343.5081585,358.0,35.383823529411984,2.0,0.6978021978022042,11.56043956043959,13.467032967032992,185.29999999999927,0.0,0.0,6872.0,346.3962704
2002.0,763.0659340659349,346.3962704,360.0,36.72500000000037,3.0,0.6373626373626422,12.703296703296928,13.79120879120876,202.0,0.0,0.0,7668.0,349.2843823
2003.0,769.0824175824182,349.2843823,362.0,32.0,3.0,0.5769230769230802,13.846153846153811,14.115384615384642,207.0,0.0,0.0,9188.0,352.1724942
2004.0,775.0989010989015,352.1724942,364.0,33.0,4.0,1.0,16.0,15.0,212.0,0.0,0.0,10508.0,355.0606061
2005.0,781.1153846153848,355.0606061,365.0,46.0,4.0,1.0,16.0,16.0,204.0,0.0,0.0,12868.0,360.0
2006.0,791.0,360.0,367.0,47.0,3.0,0.0,20.0,15.0,226.0,0.0,0.0,14832.0,362.0
2007.0,796.0,362.0,372.0,47.0,3.0,0.0,20.0,15.0,229.0,0.0,0.0,16832.0,364.0
2008.0,800.0,364.0,380.0,48.0,3.0,0.0,19.0,15.0,234.0,0.0,0.0,21112.0,365.0
2009.0,802.0,365.0,383.0,48.0,3.0,0.0,19.0,16.0,218.0,0.0,0.0,24680.0,367.0
2010.0,806.0,367.0,387.0,47.0,3.0,0.0,18.0,16.0,225.0,0.0,0.0,26984.0,373.0
2011.0,818.0,373.0,391.0,48.0,3.0,0.0,19.0,17.0,232.0,11409.0,17628.0,30440.0,375.0
2012.0,822.0,375.0,394.0,49.0,3.0,0.0,23.0,15.0,239.0,13461.0,20193.0,34976.0,377.0
2013.0,827.0,377.0,395.0,50.0,2.0,0.0,25.0,16.0,244.0,14916.0,22959.0,38988.0,380.0
2014.0,833.0,380.0,396.0,51.0,2.0,0.0,32.0,19.0,291.0,16200.0,25236.0,42496.0,383.0
2015.0,840.0,383.0,401.0,53.0,2.0,0.0,29.0,19.0,294.0,17586.0,27594.0,47188.0,388.0
2016.0,850.0,388.0,408.0,55.0,2.0,0.0,28.0,19.0,295.0,14742.0,25791.0,49672.0,392.0
2017.0,858.0,392.0,413.0,57.0,2.0,0.0,26.0,19.0,296.0,15930.0,27705.0,53792.0,392.0
2018.0,859.0,392.0,418.0,59.0,2.0,0.0,24.0,19.0,296.0,17247.0,29922.0,58352.0,393.0
2019.0,861.0,393.0,423.0,59.0,3.0,0.0,19.0,18.0,250.0,18546.0,32001.0,63408.0,393.0
2020.0,862.0,393.0,425.0,59.0,2.0,0.0,16.0,19.0,238.0,15822.0,26289.0,70788.0,386.0
2021.0,845.0,386.0,426.0,60.0,2.0,-0.5109890109890074,34.41758241758271,19.950549450549488,197.0,20370.0,35097.0,75428.0,
2022.0,0.0,404.1585082,425.9882353,61.0,2.0,-0.5714285714285694,35.56043956043959,20.274725274725256,321.67647058823604,22029.0,37842.0,80621.70225608349,
