年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,wage2022,target
2000.0,0.0,866.5501166,851.1363636,32.106060606060964,2.614285714285714,206.8023809523802,107.31904761904752,83.32857142857029,398.0166666666664,,862.0454545
2001.0,800.0,866.3927739,862.0454545,33.92424242424249,2.571428571428584,203.348809523809,111.44047619047616,89.63571428571413,404.9416666666657,9340.0,872.9545455
2002.0,800.0,866.2354312,872.9545455,35.74242424242448,2.528571428571439,199.8952380952378,115.56190476190476,95.94285714285616,411.8666666666668,10500.0,883.8636364
2003.0,805.0,866.0780886,883.8636364,37.560606060606005,2.485714285714294,216.0,95.0,81.0,392.0,11890.0,894.7727273
2004.0,810.0,865.9207459,894.7727273,39.37878787878799,2.44285714285715,196.0,103.0,82.0,382.0,13550.0,905.6818182
2005.0,820.0,865.7634033,905.6818182,41.19696969696997,2.4000000000000057,190.0,111.0,94.0,396.0,15810.0,916.5909091
2006.0,830.0,865.6060606,916.5909091,43.0151515151515,2.357142857142861,183.0,128.0,142.0,452.0,18850.0,935.0
2007.0,835.0,875.0,935.0,45.0,2.3142857142857167,177.0,145.0,147.0,469.0,21900.0,940.0
2008.0,840.0,870.0,940.0,46.0,2.271428571428572,170.0,152.0,155.0,477.0,23710.0,945.0
2009.0,850.0,870.0,945.0,47.0,2.228571428571442,163.0,169.0,154.0,486.0,26820.0,955.0
2010.0,860.0,865.0,955.0,49.0,2.185714285714297,162.0,180.0,159.0,501.0,31180.0,970.0
2011.0,865.0,855.0,970.0,54.0,2.142857142857153,162.0,187.0,171.0,521.0,34240.0,975.0
2012.0,875.0,855.0,975.0,55.0,2.1000000000000085,153.0,205.0,171.0,529.0,39490.0,990.0
2013.0,760.0,855.0,990.0,57.0,2.057142857142864,180.0,140.0,158.0,479.0,44070.0,1005.0
2014.0,865.0,860.0,1005.0,58.0,2.1,172.0,146.0,161.0,479.0,47010.0,1025.0
2015.0,870.0,860.0,1025.0,60.0,1.9,163.0,151.0,168.0,481.0,49780.0,1030.0
2016.0,3020.0,865.0,1030.0,61.0,1.9,153.0,156.0,174.0,482.0,54310.0,1040.0
2017.0,866.083333333333,870.0,1040.0,62.0,1.9,144.0,160.0,179.0,483.0,57230.0,1040.0
2018.0,3415.0,875.0,1040.0,64.0,1.8,144.0,160.0,179.0,483.0,63920.0,1045.0
2019.0,3430.0,880.0,1045.0,65.0,1.8,120.0,170.0,193.0,483.0,71460.0,1040.0
2020.0,877.708333333333,905.0,1040.0,64.0,1.8,107.0,173.0,204.0,483.0,78570.0,1035.0
2021.0,881.583333333333,905.0,1035.0,66.0,1.8,95.0,167.0,221.0,482.0,82193.13157826662,
2022.0,0.0,863.0885781,1091.136364,66.0,2.1,130.82380952380936,197.99047619047724,222.08571428571304,550.3666666666668,88240.83082616329,
