年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,ruralincome_polynomial_predicted,per_consumption,cityincome,wage2022,target
2000.0,0.0,405.9265734,338.5780886,51.45804195804203,3.787727910238431,39.04047619047629,108.1428571428578,56.90476190476147,204.1285714285732,0.0,0.0,0.0,,340.6585082
2001.0,780.0,410.0524476,340.6585082,52.60139860139861,3.0,38.32976190476211,111.42857142857156,60.4476190476189,210.2357142857163,0.0,0.0,0.0,11540.0,342.7389277
2002.0,785.0,414.1783217,342.7389277,53.7447552447552,3.2,37.619047619047706,114.71428571428623,63.99047619047542,216.34285714285943,0.0,0.0,0.0,13110.0,344.8193473
2003.0,790.0,418.3041958,344.8193473,54.88811188811178,3.4,46.0,88.0,57.0,192.0,0.0,0.0,0.0,14910.0,346.8997669
2004.0,795.0,422.4300699,346.8997669,56.03146853146836,3.5,39.0,99.0,62.0,200.0,0.0,0.0,0.0,17260.0,348.9801865
2005.0,800.0,426.5559441,348.9801865,57.17482517482495,3.6,35.0,115.0,68.0,217.0,0.0,0.0,0.0,19980.0,351.0606061
2006.0,810.0,430.6818182,351.0606061,58.31818181818153,3.6,33.0,129.0,80.0,241.0,0.0,0.0,0.0,22990.0,355.0
2007.0,815.0,425.0,355.0,61.0,3.4,31.0,140.0,85.0,256.0,0.0,0.0,0.0,26560.0,355.0
2008.0,815.0,435.0,355.0,61.0,3.2,30.0,151.0,90.0,271.0,0.0,0.0,0.0,30410.0,360.0
2009.0,820.0,440.0,360.0,61.0,3.2,30.0,163.0,98.0,291.0,0.0,0.0,0.0,34840.0,360.0
2010.0,825.0,445.0,360.0,61.0,2.760378681626918,29.0,170.0,104.0,304.0,0.0,0.0,0.0,39220.0,360.0
2011.0,825.0,460.0,360.0,64.0,2.657643758765772,28.0,180.0,116.0,323.0,12636.0,0.0,26265.0,44210.0,360.0
2012.0,830.0,465.0,360.0,65.0,2.6,22.0,153.0,102.0,278.0,14836.0,0.0,29825.0,49750.0,365.0
2013.0,1070.0,470.0,365.0,66.0,2.4,32.0,148.0,101.0,281.0,16234.8775665164,0.0,33585.0,55760.0,365.0
2014.0,840.0,470.0,365.0,68.0,2.349438990182307,32.0,147.0,102.0,281.0,18002.285626798868,0.0,36149.95734027028,67400.0,370.0
2015.0,845.0,470.0,370.0,69.0,1.9,31.0,146.0,104.0,281.0,20132.0,20604.0,39480.0,70850.0,370.0
2016.0,2425.0,470.0,370.0,70.0,2.143969144460016,31.0,144.0,107.0,281.0,21912.0,22228.0,42710.0,73030.0,375.0
2017.0,920.333333333332,470.0,375.0,71.0,1.9,30.0,142.0,109.0,281.0,23776.0,23980.0,46055.0,81060.0,380.0
2018.0,3025.0,470.0,380.0,72.0,1.8,30.0,142.0,109.0,281.0,25832.0,25492.0,49955.0,84740.0,380.0
2019.0,2945.0,470.0,380.0,73.0,1.8,29.0,137.0,115.0,282.0,28012.0,26860.0,53995.0,91270.0,385.0
2020.0,948.833333333332,525.0,385.0,76.0,1.8,29.0,137.0,116.0,283.0,30488.0,28768.0,58340.0,104540.0,385.0
2021.0,958.333333333332,525.0,385.0,77.0,1.8,27.0,133.0,141.0,300.0,32364.0,28288.0,60525.0,113270.0,
2022.0,0.0,496.6958042,384.3473193,78.0,1.6,23.40476190476216,180.4285714285716,134.84761904761854,338.4857142857163,35820.0,34070.0,65820.0,119841.24811828136,
