年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,ruralincome_polynomial_predicted,rural_residents_consumption,cityincome,wage2022,target
2000.0,0.0,627.6574877,571.1911422,72.7820512820515,4.186764705882354,48.46428571428572,103.41190476190512,80.0,232.028571428571,0.0,0.0,0.0,0.0,,576.6491841
2001.0,826.0,613.0,576.6491841,73.35897435897459,4.074999999999989,48.31785714285718,107.34404761904808,91.90000000000146,247.6857142857116,0.0,0.0,0.0,0.0,13912.0,582.1072261
2002.0,838.0,654.5914749,582.1072261,73.93589743589769,4.0,48.17142857142858,111.276190476191,103.79999999999929,263.3428571428558,0.0,0.0,0.0,0.0,16572.0,587.5652681
2003.0,855.0,668.0584685,587.5652681,74.51282051282055,4.0,58.0,93.0,119.0,270.0,0.0,0.0,0.0,0.0,19144.0,593.02331
2004.0,869.0,681.5254621,593.02331,75.08974358974365,4.0,52.0,101.0,128.0,281.0,0.0,0.0,0.0,0.0,22188.0,598.481352
2005.0,887.0,694.9924557,598.481352,75.66666666666674,4.0,45.0,101.0,138.0,284.0,0.0,0.0,0.0,0.0,26060.0,603.9393939
2006.0,905.0,708.4594493,603.9393939,76.0,3.0,43.0,132.0,143.0,317.0,0.0,0.0,0.0,0.0,29340.0,607.0
2007.0,923.0,719.0,607.0,77.0,3.0,37.0,139.0,151.0,327.0,0.0,0.0,0.0,0.0,32456.0,617.0
2008.0,938.0,741.0,617.0,77.0,3.0,45.0,153.0,169.0,368.0,0.0,0.0,0.0,0.0,35904.0,624.0
2009.0,949.0,759.0,624.0,77.0,3.0,46.0,153.0,181.0,380.0,0.0,0.0,0.0,0.0,39876.0,630.0
2010.0,957.0,771.0,630.0,79.0,3.0,46.0,169.0,193.0,408.0,0.0,0.0,0.0,0.0,43620.0,632.0
2011.0,960.0,801.0,632.0,80.0,3.0,51.0,175.0,232.0,458.0,18156.0,13269.674024522305,9865.932467532488,28311.0,48780.0,636.0
2012.0,966.0,811.0,636.0,80.0,3.0,44.0,176.0,248.0,468.0,20763.0,14150.814284563065,10543.057142857158,32199.0,54708.0,638.0
2013.0,969.0,816.0,638.0,81.0,3.0,49.0,151.0,252.0,452.0,23493.0,15206.57142752409,11323.285714285725,36321.0,63148.0,643.0
2014.0,1243.0,819.0,643.0,81.0,3.0,49.0,150.0,254.0,452.0,25647.0,16530.0,12390.0,39879.0,66220.0,649.0
2015.0,985.0,822.0,649.0,81.0,3.0,47.0,150.0,256.0,453.0,25854.0,17661.0,12816.0,42567.0,77284.0,653.0
2016.0,991.0,824.0,653.0,82.0,2.0,47.0,149.0,260.0,455.0,27792.0,19482.0,14040.0,46104.0,81072.0,663.0
2017.0,1484.0,827.0,663.0,82.0,2.0,46.0,149.0,261.0,456.0,29772.0,21156.0,15771.0,49995.0,90188.0,681.0
2018.0,1111.21428571429,834.0,681.0,83.0,2.0,46.0,149.0,261.0,456.0,31383.0,23133.0,17154.0,54537.0,101500.0,697.0
2019.0,1555.0,844.0,697.0,86.0,2.0,43.0,146.0,274.0,463.0,33537.0,25263.0,18456.0,59307.0,111068.0,710.0
2020.0,1588.0,928.0,710.0,87.0,2.0,40.0,145.0,280.0,503.0,35931.0,27636.0,19980.0,64371.0,129604.0,723.0
2021.0,1163.1785714285725,932.0,723.0,87.0,2.0,38.0,150.0,296.0,484.0,35853.0,29619.0,19419.0,67551.0,138004.0,
2022.0,0.0,923.9313467,691.2680653,85.47435897435912,1.72794117647058,45.24285714285719,189.9190476190479,341.7999999999993,576.4857142857145,42486.0,32700.0,24006.0,73593.0,146457.09473466873,
