年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,cityincome,wage2022,target
2000.0,0.0,598.3752914,567.825,53.56617647058829,4.599999999999966,0.0,32.604395604395904,32.45054945054926,297.14264705882306,0.0,0.0,,563.0
2001.0,740.7142857142862,605.6759907,563.0,54.720588235294144,4.0,0.0,34.96703296703254,35.46703296703345,306.6999999999971,0.0,0.0,10420.0,569.0
2002.0,749.6703296703308,612.97669,569.0,55.875,4.0,0.0,37.32967032967008,38.48351648351672,350.0,0.0,0.0,11976.0,575.0
2003.0,758.6263736263754,620.2773893,575.0,51.0,4.0,0.0,39.69230769230762,41.5,353.0,0.0,0.0,14392.0,583.0
2004.0,767.58241758242,627.5780886,583.0,52.0,4.0,0.0,38.0,42.0,356.0,0.0,0.0,16024.0,590.0
2005.0,776.5384615384646,634.8787879,590.0,54.0,4.0,0.0,39.0,41.0,294.0,0.0,0.0,17980.0,597.0
2006.0,788.0,643.0,597.0,56.0,4.0,0.0,46.0,52.0,360.0,0.0,0.0,20864.0,603.0
2007.0,793.0,648.0,603.0,70.0,4.0,0.0,49.0,52.0,362.0,0.0,0.0,22304.0,605.0
2008.0,804.0,657.0,605.0,71.0,4.0,0.0,57.0,61.0,364.0,0.0,0.0,26652.0,604.0
2009.0,810.0,663.0,604.0,71.0,3.0,0.0,58.0,63.0,357.0,0.0,0.0,31596.0,603.0
2010.0,817.0,668.0,603.0,71.0,4.0,0.0,56.0,67.0,373.0,0.0,0.0,35660.0,604.0
2011.0,834.0,682.0,604.0,71.0,4.0,0.0,62.0,66.0,379.0,15972.0,25320.0,37852.0,607.0
2012.0,842.0,689.0,607.0,72.0,4.0,0.0,61.0,72.0,393.0,18045.0,28890.0,44004.0,609.0
2013.0,850.0,695.0,609.0,66.0,3.0,0.0,69.0,72.0,408.0,20031.0,32568.0,48828.0,613.0
2014.0,856.0,700.0,613.0,66.0,2.0,0.0,72.0,76.0,454.0,21666.0,35646.0,55840.0,622.0
2015.0,864.0,707.0,622.0,68.0,2.0,0.0,67.0,75.0,465.0,22980.0,38760.0,62320.0,626.0
2016.0,872.0,713.0,626.0,69.0,2.0,0.0,57.0,75.0,469.0,26316.0,39888.0,68996.0,633.0
2017.0,885.0,723.0,633.0,71.0,2.0,0.0,58.0,78.0,470.0,28536.0,43050.0,77012.0,644.0
2018.0,895.0,732.0,644.0,72.0,2.0,0.0,54.0,77.0,453.0,30726.0,46641.0,84644.0,656.0
2019.0,912.0,746.0,656.0,71.0,2.0,0.0,55.0,75.0,424.0,32976.0,50145.0,91648.0,797.0
2020.0,1114.0,891.0,797.0,73.0,2.0,0.0,58.0,88.0,510.0,26637.0,41472.0,100592.0,807.0
2021.0,1151.0,920.0,807.0,74.0,2.0,0.0,82.21978021977975,95.79670329670353,469.0,34389.0,53328.0,108388.0,
2022.0,0.0,758.990676,646.7338235,74.0,1.7529411764705856,0.0,84.58241758241729,98.8131868131868,507.4044117647063,36864.0,57447.0,118277.0526264906,
