年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,ruralincome_polynomial_predicted,per_income,per_consumption,wage2022,target
2000.0,0.0,683.0582751,714.2983683,54.59340659340637,2.829411764705881,126.56043956043868,154.48351648351672,137.3956043956041,316.286796536795,0.0,0.0,0.0,,720.7144522
2001.0,617.6153846153866,698.6981352,720.7144522,55.505494505494426,2.7750000000000057,122.21978021977884,162.75824175824164,144.84065934065984,329.6331168831166,0.0,0.0,0.0,12496.0,727.1305361
2002.0,627.6923076923085,714.3379953,727.1305361,56.41758241758225,1.0,117.879120879119,171.0329670329702,152.28571428571377,342.9794372294382,0.0,0.0,0.0,15172.0,733.54662
2003.0,637.7692307692305,729.9778555,733.54662,57.32967032967008,4.0,113.53846153846098,179.3076923076951,159.7307692307695,325.0,0.0,0.0,0.0,17240.0,739.962704
2004.0,647.8461538461524,745.6177156,739.962704,58.24175824175813,3.0,125.0,143.0,177.0,383.0,0.0,0.0,0.0,18912.0,746.3787879
2005.0,657.923076923078,761.2575758,746.3787879,59.15384615384596,3.0,103.0,192.0,153.0,383.0,0.0,0.0,0.0,19576.0,750.0
2006.0,659.0,778.0,750.0,60.0,2.0,102.0,193.0,193.0,403.0,0.0,0.0,0.0,21684.0,756.0
2007.0,661.0,780.0,756.0,60.0,3.0,82.0,236.0,191.0,413.5,0.0,0.0,0.0,23020.0,765.0
2008.0,670.0,790.0,765.0,61.0,2.0,92.0,241.0,184.0,423.5,0.0,0.0,0.0,25992.0,772.0
2009.0,678.0,800.0,772.0,61.0,3.0,81.0,261.0,195.0,436.5,0.0,0.0,0.0,29592.0,779.0
2010.0,684.0,808.0,779.0,66.0,2.0,86.0,262.0,198.0,444.5,0.0,0.0,0.0,33888.0,787.0
2011.0,773.0,912.0,787.0,66.0,2.0,75.0,273.0,210.0,453.5,23410.20779240132,0.0,0.0,37604.0,798.0
2012.0,775.0,914.0,798.0,67.0,2.0,73.0,229.0,274.0,466.5,25591.785714507103,0.0,0.0,42344.0,800.0
2013.0,769.0,916.0,800.0,67.0,2.0,67.0,245.0,265.0,513.0,27988.92857152224,0.0,0.0,48212.0,807.0
2014.0,779.0,920.0,807.0,67.0,2.0,67.0,248.0,260.0,510.0,30600.0,0.0,0.0,54588.0,814.0
2015.0,749.0,907.0,814.0,68.0,2.0,64.0,277.0,227.0,507.0,33477.0,33476.0,22866.0,59900.0,811.0
2016.0,753.0,912.0,811.0,69.0,2.0,64.0,284.0,227.0,510.0,36459.0,36456.0,24798.0,64412.0,818.0
2017.0,758.0,918.0,818.0,70.0,2.0,62.0,276.0,236.0,510.0,39600.0,39600.0,26232.0,70068.0,825.0
2018.0,762.0,922.0,825.0,70.0,2.0,62.0,276.0,237.0,510.5,43185.0,43184.0,28626.0,75880.0,829.0
2019.0,764.0,925.0,829.0,71.0,2.0,62.0,275.0,238.0,504.0,46920.0,46920.0,31212.0,82836.0,832.0
2020.0,769.0,930.0,832.0,72.0,2.0,61.0,270.0,245.0,503.0,51489.0,51488.0,34107.0,90676.0,834.0
2021.0,791.0,956.0,834.0,73.0,2.0,35.40659340659295,328.2527472527472,293.7417582417584,418.0,54024.0,54024.0,34281.0,96772.0,
2022.0,0.0,1027.135198,855.4522145,74.0,2.0,31.065934065933103,336.5274725274721,301.1868131868123,609.9058441558445,59586.0,59588.0,39900.0,105661.10074520113,
