年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,urban_residents_consumption,ruralincome_polynomial_predicted,rural_residents_consumption,per_income,per_consumption,cityincome,wage2022,target
2000.0,0.0,94.03962704,97.0,55.67132867132864,4.323529411764724,16.786813186813106,15.705494505494473,15.087912087912173,47.80659340659349,0.0,0.0,0.0,0.0,0.0,0.0,,97.0
2001.0,733.1208791208792,95.43473193,97.0,56.3776223776224,4.0,16.305494505494494,16.69890109890116,16.43956043956041,49.66153846153839,0.0,0.0,0.0,0.0,0.0,0.0,11504.0,97.0
2002.0,736.197802197802,96.82983683,97.0,57.083916083916165,4.0,15.824175824175768,17.692307692307622,17.791208791208646,51.51648351648373,0.0,0.0,0.0,0.0,0.0,0.0,14732.0,97.0
2003.0,739.2747252747258,98.22494172,97.0,57.7902097902097,4.0,19.0,18.0,17.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,16688.0,97.0
2004.0,742.3516483516487,99.62004662,97.0,58.496503496503465,4.0,16.0,19.0,21.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,18776.0,97.0
2005.0,732.0,101.0151515,97.0,59.20279720279723,4.0,14.0,20.0,22.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,22248.0,97.0
2006.0,734.0,103.0,97.0,59.90909090909099,4.0,13.0,21.0,22.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,25368.0,97.0
2007.0,739.0,103.0,97.0,61.0,4.0,12.0,21.0,25.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,28440.0,97.0
2008.0,753.0,104.0,97.0,61.0,4.0,11.0,27.0,26.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,33424.0,97.0
2009.0,759.0,105.0,97.0,62.0,4.0,11.0,28.0,27.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,38700.0,97.0
2010.0,801.0,106.0,97.0,62.0,3.0,11.0,26.0,29.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,40568.0,97.0
2011.0,812.0,112.0,97.0,64.0,3.0,11.0,26.0,32.0,69.0,23099.643290043296,17584.96969693899,12808.83636363638,0.0,0.0,30269.81818196177,43632.0,97.0
2012.0,760.0,114.0,97.0,64.0,3.0,10.0,25.0,37.0,73.0,23999.2761904762,19457.066666543484,13834.533333333346,0.0,0.0,33916.00000010431,52904.0,97.0
2013.0,761.0,114.0,97.0,65.0,3.0,11.0,31.0,31.0,73.0,25037.71428571429,21400.0,14608.0,0.0,0.0,37795.0,57280.0,97.0
2014.0,764.0,114.0,97.0,66.0,3.0,10.0,30.0,34.0,74.0,25388.0,23780.0,16216.0,0.0,0.0,41465.0,61680.0,97.0
2015.0,768.0,115.0,97.0,66.0,3.0,11.0,30.0,34.0,75.0,27804.0,25900.0,17612.0,35328.0,23784.0,44845.0,68964.0,97.0
2016.0,772.0,115.0,97.0,67.0,3.0,11.0,30.0,34.0,75.0,30128.0,28308.0,19468.0,38252.0,25772.0,48420.0,74716.0,97.0
2017.0,779.0,116.0,97.0,68.0,3.0,11.0,29.0,35.0,75.0,30760.0,30788.0,20472.0,41564.0,26908.0,52515.0,80308.0,97.0
2018.0,782.0,117.0,97.0,68.0,2.0,11.0,29.0,35.0,75.0,32216.0,33812.0,22004.0,45192.0,28256.0,56620.0,93016.0,97.0
2019.0,784.0,117.0,97.0,68.0,2.0,11.0,29.0,36.0,76.0,33824.0,36784.0,23888.0,49216.0,29988.0,61475.0,98392.0,97.0
2020.0,772.0,118.0,97.0,69.0,2.0,7.1604395604395,35.57362637362644,42.12087912087918,84.90549450549452,36332.0,39096.0,23912.0,53568.0,32344.0,63700.0,106440.0,96.0
2021.0,777.0,116.0,96.0,72.0,2.0,8.0,32.0,33.0,73.0,36476.0,42944.0,27828.0,55828.0,32456.0,69100.0,108492.0,
2022.0,0.0,124.7319347,97.0,72.0,1.0,6.197802197802162,37.56043956043959,44.82417582417565,88.61538461538476,42044.0,45924.0,29724.0,60846.0,37560.0,71965.0,120680.19248068333,
