年份,dense,live_popularity,born_popularity,urbanizationRate,unemploymentRate,Employment,si_Employment,ti_Employment,employeesNumber,ruralincome_polynomial_predicted,cityincome,wage2022,target
2000.0,0.0,495.7212373,504.9615385,23.03613053613026,3.0,131.73529411764684,50.42205882352937,91.03529411764704,273.8073529411763,0.0,0.0,,508.3846154
2001.0,511.0,504.0,508.3846154,25.2599067599067,3.0,128.125,53.69999999999982,93.27500000000056,275.64999999999964,0.0,0.0,7976.0,511.8076923
2002.0,514.0,493.9219163,511.8076923,27.48368298368314,4.0,138.0,45.0,53.0,237.0,0.0,0.0,8948.0,515.2307692
2003.0,516.0,493.0222558,515.2307692,29.70745920745958,4.0,126.0,45.0,90.0,262.0,0.0,0.0,9852.0,518.6538462
2004.0,520.0,492.1225952,518.6538462,31.93123543123602,3.359375,118.0,48.0,104.0,270.0,0.0,0.0,10800.0,522.0769231
2005.0,524.0,491.2229347,522.0769231,34.15501165501155,3.25,112.0,55.0,107.0,274.0,0.0,0.0,12168.0,525.5
2006.0,529.0,490.3232742,525.5,36.37878787878799,4.0,101.0,68.0,112.0,282.0,0.0,0.0,14132.0,533.0
2007.0,530.0,492.0,533.0,38.0,3.0,99.0,82.0,114.0,294.0,0.0,0.0,16588.0,534.0
2008.0,533.0,486.0,534.0,40.0,3.0,97.0,95.0,121.0,313.0,0.0,0.0,19840.0,537.0
2009.0,530.0,482.0,537.0,41.0,3.0,98.0,110.0,139.0,347.0,0.0,0.0,23992.0,534.0
2010.0,535.0,481.0,534.0,43.0,3.0,94.0,104.0,128.0,327.0,0.0,0.0,28176.0,539.0
2011.0,539.0,480.0,539.0,51.0,3.0,94.0,126.0,142.0,361.0,2276.14285582304,20260.0,32780.0,543.0
2012.0,543.0,480.0,543.0,52.0,2.0,84.0,85.0,112.0,280.0,4377.476189479232,22995.0,36984.0,547.0
2013.0,479.0,480.0,547.0,54.0,2.0,83.0,85.0,114.0,281.0,6444.619046911597,23556.2879473567,41968.0,553.0
2014.0,559.0,483.0,553.0,55.0,2.0,80.0,88.0,114.0,282.0,8477.571428135037,25795.0,45520.0,560.0
2015.0,562.0,485.0,560.0,57.0,2.0,79.0,89.0,115.0,283.0,10024.0,28105.0,51300.0,564.0
2016.0,5226.0,487.0,564.0,58.0,2.0,78.0,90.0,116.0,284.0,14316.0,30335.0,55232.0,568.0
2017.0,539.9714285714285,489.0,568.0,60.0,2.0,78.0,90.0,116.0,284.0,11928.0,24880.0,59640.0,561.0
2018.0,5181.0,491.0,561.0,61.0,2.0,77.0,90.0,118.0,285.0,17056.0,35825.0,64628.0,561.0
2019.0,5420.0,493.0,561.0,62.0,2.0,76.0,90.0,119.0,285.0,18564.0,38950.0,71472.0,560.0
2020.0,544.4285714285716,464.0,560.0,64.0,2.0,70.0,85.0,113.0,269.0,19728.0,40315.0,77872.0,558.0
2021.0,545.9142857142856,456.0,558.0,66.0,4.0,66.0,86.0,113.0,265.0,21884.0,43950.0,83216.0,
2022.0,0.0,475.9287061,580.2692308,66.0,1.390625,52.30882352941171,122.53676470588198,140.30882352941262,314.34558823529414,23404.0,46040.0,90962.65263056757,
