year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,nan,24,19,12,nan,nan
2002,nan,nan,nan,nan,24,18,13,nan,nan
2003,nan,nan,nan,nan,24,18,13,nan,nan
2004,nan,nan,nan,nan,24,17,15,nan,nan
2005,nan,nan,57,nan,24,17,17,nan,nan
2006,nan,nan,58,nan,23,19,18,nan,nan
2007,nan,nan,59,nan,22,21,19,nan,nan
2008,nan,nan,60,nan,22,21,21,nan,nan
2009,115,111,60,4,22,19,23,nan,nan
2010,117,112,60,4,22,20,23,nan,nan
2011,121,111,62,4,22,20,24,nan,nan
2012,122,112,63,4,22,23,26,nan,nan
2013,123,112,63,4,21,21,24,nan,nan
2014,123,112,64,4,22,25,25,nan,nan
2015,123,112,65,4,22,31,21,30360,19857
2016,123,111,65,4,17,18,25,32859,20742
2017,124,111,66,4,19,17,26,35619,22845
2018,124,109,67,4,19,18,26,38508,24105
2019,124,108,67,4,19,18,26,41862,25791
2020,121,108,70,4,19,16,27,44208,25629
2021,121,108,70,4,19,16,28,47913,27597
