年份,employeesNumber
2000,237.2607607378612
2001,245.1294015508299
2002,251.17083440369143
2003,250.54065934065926
2004,262.22857142857146
2005,270.2142857142857
2006,288.95714285714286
2007,299.4
2008,310.64285714285717
2009,321.45714285714286
2010,328.6142857142857
2011,336.95714285714286
2012,339.1714285714286
2013,343.01428571428573
2014,348.6142857142857
2015,350.74285714285713
2016,352.8857142857143
2017,355.1857142857143
2018,358.25714285714287
2019,362.7142857142857
2020,383.5017268445839
2021,372.84144427001564
2022,413.9764577859114
