城市名称,2015,2016,2017,2018,2019,2020,2021,2022
city3,28852,32356,36480,38320,40532,43112,40580,46280
city6,24848,27712,30560,32648,34052,37160,36936,40540
city14,9976,10764,12236,13580,14592,15604,16000,18025
city9,11236,12428,13480,14492,15440,16516,17012,18275
city11,20304,22336,24136,25616,27736,30544,31756,37155
city1,20356,22020,23216,24420,26964,29656,30412,35870
city7,22000,23784,24540,26456,28688,31108,31612,37445
city4,23784,25772,26908,28256,29988,32344,32456,37560
city10,16920,18396,19932,21568,23508,25716,25940,30385
city16,12220,13380,14800,16052,17204,18724,18800,21330
city17,30572,32884,35384,37492,39464,42304,41400,44245
city18,20604,22228,23980,25492,26860,28768,28288,34070
city19,20948,22668,24960,26660,28624,30908,30944,36465
city20,13872,14692,15864,16788,18732,20632,21024,25040
city23,25125,27198,30477,32979,35079,38211,36357,42333
city27,14562,16179,17532,18789,19185,20943,21255,22491
city31,14256,15609,17280,19302,19749,21645,21897,24192
city35,11436,12273,13302,14511,15300,16311,16557,18858
city38,11490,12552,13926,14865,15504,17019,16776,19092
city21,28491,30180,31905,34146,37368,40014,38235,44600
city25,24324,26055,27891,29316,32199,33942,34455,40476
city29,21639,23820,25143,27129,29421,31767,30969,36225
city33,22866,24798,26232,28626,31212,34107,34281,39900
