城市名称,2015,2016,2017,2018,2019,2020,2021,2022
city3,40948,44632,48692,52936,57544,62520,64876,70842
city6,35140,38500,41940,45812,49628,54040,56244,61698
city14,13280,14548,16076,17716,19396,21052,22288,24624
city9,15264,16844,18400,19884,21348,23176,24600,26724
city11,34316,37136,40116,43504,47380,51612,54664,60048
city1,31508,34248,37192,40700,44484,48672,51800,57492
city7,35332,38388,41504,45304,49388,53836,56600,62508
city4,35328,38252,41564,45192,49216,53568,55828,60846
city10,22424,24400,26756,29328,32244,35448,37744,42036
city16,16620,18140,19972,21864,23672,25804,27544,30204
city17,39224,42712,46664,50780,55272,60068,63284,68904
city19,31592,34372,37152,40624,44324,48152,50580,55878
city20,22432,24460,26744,29372,32264,35408,37932,42648
city23,33232,36156,40152,44040,48104,52492,55936,61388
city27,17264,18996,20712,22520,24428,26612,28220,30968
city31,20584,22364,24424,26848,29544,32320,33664,37068
city35,15300,16628,17932,19628,21424,23320,24984,27644
city38,17332,18988,20576,22360,24068,26120,27496,30392
city21,39236,42640,46116,49832,54348,59260,61876,67708
city25,38072,41372,44640,48232,52400,56980,59952,65436
city29,30948,33788,36912,40436,43972,47988,50640,55496
city33,33476,36456,39600,43184,46920,51488,54024,59588
