城市名称,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
city3,22804.0,24080.0,26728.0,28812.0,28852.0,32356.0,36480.0,38320.0,40532.0,43112.0,40580.0,46284.0
city6,21992.0,23780.0,26164.0,28308.0,26040.0,28396.0,31300.0,33448.0,34800.0,37968.0,37664.0,41324.0
city14,8368.0,9816.0,11200.0,12232.0,12464.0,13428.0,15120.0,16456.0,17340.0,18228.0,18320.0,20164.0
city9,10180.0,13160.0,14300.0,15484.0,13928.0,15292.0,16264.0,17512.0,18020.0,19256.0,19440.0,20636.0
city1,22796.865800865802,22786.190476190477,23098.95238095238,23196.0,24872.0,26812.0,27728.0,28960.0,31828.0,34916.0,35488.0,41532.0
city4,23099.643290043296,23999.276190476194,25037.71428571429,25388.0,27804.0,30128.0,30760.0,32216.0,33824.0,36332.0,36476.0,42044.0
city7,23124.723809523806,23418.361904761903,23986.476190476187,24220.0,26228.0,28156.0,28856.0,30876.0,33316.0,35924.0,36392.0,42764.0
city10,16169.224242424256,17401.066666666673,18743.333333333336,20004.0,21864.0,23556.0,25296.0,27016.0,29268.0,31876.0,31756.0,36676.0
city11,16554.28225108228,17982.83809523812,19572.85714285716,21104.0,23032.0,25544.0,28312.0,29872.0,32364.0,35432.0,36384.0,42304.0
city16,12908.0,14392.0,16288.0,17640.0,15220.0,16588.0,18140.0,19628.0,20804.0,22468.0,22160.0,25072.0
city17,25008.0,28204.0,30488.0,33152.0,33380.0,35748.0,38392.0,40632.0,42180.0,45044.0,44280.0,47160.0
city19,18077.432034632075,19872.685714285744,21737.428571428594,23504.0,25624.0,27700.0,30308.0,32364.0,34500.0,37164.0,36824.0,43028.0
city20,15708.283982683988,16001.657142857146,16508.285714285717,16992.0,18352.0,19388.0,20872.0,21928.0,24268.0,26532.0,26800.0,31428.0
city23,20368.0,21160.0,24080.0,26128.0,26636.0,28740.0,32148.0,34732.0,36816.0,40028.0,37776.0,43956.0
city27,13218.0,15744.0,17985.0,19548.0,18036.0,19350.0,20721.0,21777.0,21996.0,23853.0,24048.0,25266.0
city31,15558.0,17076.0,18447.0,19905.0,16761.0,18330.0,20457.0,22905.0,23235.0,25677.0,25476.0,27912.0
city35,11823.0,14055.0,15615.0,17115.0,15921.0,17091.0,18414.0,20013.0,20214.0,21057.0,21006.0,23268.0
city38,12162.0,14019.0,15726.0,17160.0,15213.0,16359.0,17880.0,18945.0,19983.0,21684.0,20988.0,23028.0
city21,25372.517748917795,26966.895238095272,28643.142857142884,30656.0,32164.0,33816.0,35684.0,38176.0,41612.0,44076.0,41916.0,48628.0
city25,21279.60173160177,22588.952380952414,24046.095238095266,25012.0,27892.0,29644.0,31584.0,33196.0,36712.0,38272.0,38700.0,45360.0
city29,18103.36277056281,20163.92380952384,22224.952380952403,24028.0,26456.0,28892.0,30020.0,32512.0,35100.0,37616.0,36128.0,42096.0
city22,18156.0,20763.0,23493.0,25647.0,25854.0,27792.0,29772.0,31383.0,33537.0,35931.0,35853.0,42486.0
city24,15972.0,18045.0,20031.0,21666.0,22980.0,26316.0,28536.0,30726.0,32976.0,26637.0,34389.0,36864.0
city28,17529.0,19296.0,20391.0,22059.0,24015.0,26049.0,28284.0,30567.0,32889.0,29499.0,35934.0,38571.0
city32,13722.0,15993.0,16917.0,18423.0,19902.0,22119.0,23697.0,25260.0,26973.0,24537.0,29469.0,31674.0
city36,11409.0,13461.0,14916.0,16200.0,17586.0,14742.0,15930.0,17247.0,18546.0,15822.0,20370.0,22029.0
city39,14742.0,17529.0,18000.0,19566.0,21924.0,23139.0,24876.0,26871.0,28899.0,25359.0,31284.0,33525.0
