city,year,born_popularity
city1,2006.0,258.0
city1,2007.0,258.0
city1,2008.0,258.0
city1,2009.0,259.0
city1,2010.0,259.0
city1,2011.0,260.0
city1,2012.0,261.0
city1,2013.0,261.0
city1,2014.0,262.0
city1,2015.0,264.0
city1,2016.0,264.0
city1,2017.0,265.0
city1,2018.0,266.0
city1,2019.0,267.0
city1,2020.0,268.0
city1,2021.0,268.0
city1,2000.0,252.909090909091
city1,2001.0,253.59090909090924
city1,2002.0,254.27272727272748
city1,2003.0,254.9545454545455
city1,2004.0,255.63636363636374
city1,2005.0,256.318181818182
city1,2022.0,267.909090909091
city10,2006.0,251.0
city10,2007.0,253.0
city10,2008.0,254.0
city10,2009.0,255.0
city10,2010.0,257.0
city10,2011.0,260.0
city10,2012.0,261.0
city10,2013.0,263.0
city10,2014.0,264.0
city10,2015.0,266.0
city10,2016.0,266.0
city10,2017.0,268.0
city10,2018.0,269.0
city10,2019.0,270.0
city10,2020.0,271.0
city10,2021.0,271.0
city10,2000.0,241.65850815850808
city10,2001.0,243.23892773892794
city10,2002.0,244.81934731934734
city10,2003.0,246.39976689976675
city10,2004.0,247.9801864801866
city10,2005.0,249.560606060606
city10,2022.0,276.42773892773903
city11,2006.0,334.0
city11,2007.0,336.0
city11,2008.0,337.0
city11,2009.0,338.0
city11,2010.0,340.0
city11,2011.0,342.0
city11,2012.0,343.0
city11,2013.0,345.0
city11,2014.0,346.0
city11,2015.0,348.0
city11,2016.0,349.0
city11,2017.0,352.0
city11,2018.0,356.0
city11,2019.0,360.0
city11,2020.0,364.0
city11,2021.0,367.0
city11,2000.0,324.48601398601386
city11,2001.0,326.0524475524476
city11,2002.0,327.61888111888084
city11,2003.0,329.18531468531455
city11,2004.0,330.75174825174827
city11,2005.0,332.31818181818153
city11,2022.0,358.9475524475524
city12,2001.0,0.0
city12,2007.0,504.0
city12,2008.0,501.0
city12,2009.0,501.0
city12,2010.0,504.0
city12,2011.0,505.0
city12,2012.0,507.0
city12,2013.0,506.0
city12,2014.0,508.0
city12,2015.0,509.0
city12,2016.0,508.0
city12,2017.0,508.0
city12,2018.0,505.0
city12,2019.0,503.0
city12,2020.0,501.0
city12,2021.0,497.0
city12,2000.0,203.60844964164426
city12,2002.0,250.49113542059786
city12,2003.0,273.93247831007466
city12,2004.0,297.37382119955146
city12,2005.0,320.81516408902826
city12,2006.0,344.25650697850506
city12,2022.0,719.317993210112
city13,2001.0,0.0
city13,2007.0,529.0
city13,2008.0,532.0
city13,2009.0,535.0
city13,2010.0,541.0
city13,2011.0,546.0
city13,2012.0,555.0
city13,2013.0,560.0
city13,2014.0,572.0
city13,2015.0,581.0
city13,2016.0,586.0
city13,2017.0,592.0
city13,2018.0,591.0
city13,2019.0,591.0
city13,2020.0,592.0
city13,2021.0,592.0
city13,2000.0,191.507355714828
