city,year,born_popularity
city1,2007.0,258.0
city1,2008.0,258.0
city1,2009.0,259.0
city1,2010.0,259.0
city1,2011.0,260.0
city1,2012.0,261.0
city1,2013.0,261.0
city1,2014.0,262.0
city1,2015.0,264.0
city1,2016.0,264.0
city1,2017.0,265.0
city1,2018.0,266.0
city1,2019.0,267.0
city1,2020.0,268.0
city10,2007.0,253.0
city10,2008.0,254.0
city10,2009.0,255.0
city10,2010.0,257.0
city10,2011.0,260.0
city10,2012.0,261.0
city10,2013.0,263.0
city10,2014.0,264.0
city10,2015.0,266.0
city10,2016.0,266.0
city10,2017.0,268.0
city10,2018.0,269.0
city10,2019.0,270.0
city10,2020.0,271.0
city11,2007.0,336.0
city11,2008.0,337.0
city11,2009.0,338.0
city11,2010.0,340.0
city11,2011.0,342.0
city11,2012.0,343.0
city11,2013.0,345.0
city11,2014.0,346.0
city11,2015.0,348.0
city11,2016.0,349.0
city11,2017.0,352.0
city11,2018.0,356.0
city11,2019.0,360.0
city11,2020.0,364.0
city12,2007.0,504.0
city12,2008.0,501.0
city12,2009.0,501.0
city12,2010.0,504.0
city12,2011.0,505.0
city12,2012.0,507.0
city12,2013.0,506.0
city12,2014.0,508.0
city12,2015.0,509.0
city12,2016.0,508.0
city12,2017.0,508.0
city12,2018.0,505.0
city12,2019.0,503.0
city12,2020.0,501.0
city13,2007.0,529.0
city13,2008.0,532.0
city13,2009.0,535.0
city13,2010.0,541.0
city13,2011.0,546.0
city13,2012.0,555.0
city13,2013.0,560.0
city13,2014.0,572.0
city13,2015.0,581.0
city13,2016.0,586.0
city13,2017.0,592.0
city13,2018.0,591.0
city13,2019.0,591.0
city13,2020.0,592.0
city14,2002.0,325.0
city14,2003.0,332.0
city14,2004.0,334.0
city14,2005.0,333.0
city14,2006.0,337.0
city14,2007.0,341.0
city14,2008.0,335.0
city14,2009.0,347.0
city14,2010.0,349.0
city14,2011.0,358.0
city14,2012.0,367.0
city14,2013.0,355.0
city14,2014.0,361.0
city14,2015.0,365.0
city14,2016.0,366.0
city14,2017.0,373.0
city14,2018.0,373.0
city14,2019.0,373.0
city14,2020.0,373.0
city15,2008.0,940.0
city15,2009.0,945.0
city15,2010.0,955.0
city15,2011.0,970.0
city15,2012.0,975.0
city15,2013.0,990.0
city15,2014.0,1005.0
city15,2015.0,1025.0
city15,2016.0,1030.0
city15,2017.0,1040.0
city15,2018.0,1040.0
city15,2019.0,1045.0
city15,2020.0,1040.0
city16,2002.0,310.0
city16,2003.0,315.0
city16,2004.0,315.0
city16,2005.0,315.0
city16,2006.0,320.0
city16,2007.0,320.0
city16,2008.0,320.0
city16,2009.0,320.0
city16,2010.0,325.0
city16,2011.0,325.0
city16,2012.0,330.0
city16,2013.0,325.0
city16,2014.0,325.0
city16,2015.0,330.0
city16,2016.0,330.0
city16,2017.0,335.0
city16,2018.0,335.0
city16,2019.0,335.0
city16,2020.0,335.0
city17,2002.0,710.0
city17,2003.0,720.0
city17,2004.0,720.0
city17,2005.0,735.0
city17,2006.0,750.0
city17,2007.0,760.0
city17,2008.0,770.0
city17,2009.0,780.0
city17,2010.0,790.0
city17,2011.0,805.0
city17,2012.0,810.0
city17,2013.0,820.0
city17,2014.0,830.0
city17,2015.0,840.0
city17,2016.0,850.0
city17,2017.0,865.0
city17,2018.0,895.0
city17,2019.0,925.0
city17,2020.0,950.0
city18,2008.0,355.0
city18,2009.0,360.0
city18,2010.0,360.0
city18,2011.0,360.0
city18,2012.0,360.0
city18,2013.0,365.0
city18,2014.0,365.0
city18,2015.0,370.0
city18,2016.0,370.0
city18,2017.0,375.0
city18,2018.0,380.0
city18,2019.0,380.0
city18,2020.0,385.0
city19,2007.0,455.0
city19,2008.0,460.0
city19,2009.0,460.0
city19,2010.0,465.0
city19,2011.0,465.0
city19,2012.0,470.0
city19,2013.0,470.0
city19,2014.0,470.0
city19,2015.0,475.0
city19,2016.0,475.0
city19,2017.0,480.0
city19,2018.0,485.0
city19,2019.0,490.0
city19,2020.0,490.0
city2,2007.0,458.0
city2,2008.0,462.0
city2,2009.0,464.0
city2,2010.0,466.0
city2,2011.0,467.0
city2,2012.0,468.0
city2,2013.0,470.0
city2,2014.0,472.0
city2,2015.0,477.0
city2,2016.0,481.0
city2,2017.0,486.0
city2,2018.0,493.0
city2,2019.0,497.0
city2,2020.0,503.0
city20,2007.0,245.0
city20,2008.0,245.0
city20,2009.0,250.0
city20,2010.0,250.0
city20,2011.0,250.0
city20,2012.0,250.0
city20,2013.0,250.0
city20,2014.0,255.0
city20,2015.0,255.0
city20,2016.0,255.0
city20,2017.0,255.0
city20,2018.0,255.0
city20,2019.0,255.0
city20,2020.0,255.0
