city,year,live_popularity
city1,2007.0,277.0
city1,2008.0,280.0
city1,2009.0,282.0
city1,2010.0,285.0
city1,2011.0,289.0
city1,2012.0,290.0
city1,2013.0,291.0
city1,2014.0,292.0
city1,2015.0,293.0
city1,2016.0,295.0
city1,2017.0,298.0
city1,2018.0,300.0
city1,2019.0,303.0
city1,2020.0,306.0
city1,2021.0,337.0
city1,2000.0,262.5524475524471
city1,2001.0,264.6783216783215
city1,2002.0,266.80419580419584
city1,2003.0,268.9300699300702
city1,2004.0,271.05594405594366
city1,2005.0,273.181818181818
city10,2007.0,228.0
city10,2008.0,229.0
city10,2009.0,230.0
city10,2010.0,231.0
city10,2011.0,212.0
city10,2012.0,212.0
city10,2013.0,212.0
city10,2014.0,212.0
city10,2015.0,213.0
city10,2016.0,214.0
city10,2017.0,217.0
city10,2018.0,219.0
city10,2019.0,220.0
city10,2020.0,221.0
city10,2021.0,251.0
city10,2000.0,239.6538461538462
city10,2001.0,237.92307692307713
city10,2002.0,236.19230769230808
city10,2003.0,234.46153846153857
city10,2004.0,232.7307692307695
city10,2005.0,231.0
city11,2007.0,408.0
city11,2008.0,419.0
city11,2009.0,423.0
city11,2010.0,431.0
city11,2011.0,450.0
city11,2012.0,453.0
city11,2013.0,454.0
city11,2014.0,456.0
city11,2015.0,457.0
city11,2016.0,459.0
city11,2017.0,461.0
city11,2018.0,466.0
city11,2019.0,473.0
city11,2020.0,480.0
city11,2021.0,540.0
city11,2000.0,373.5874125874125
city11,2001.0,379.2972027972028
city11,2002.0,385.00699300699307
city11,2003.0,390.71678321678337
city11,2004.0,396.42657342657367
city11,2005.0,402.13636363636397
city12,2007.0,463.0
city12,2008.0,458.0
city12,2009.0,464.0
city12,2010.0,467.0
city12,2011.0,462.0
city12,2012.0,463.0
city12,2013.0,463.0
city12,2014.0,463.0
city12,2015.0,464.0
city12,2016.0,464.0
city12,2017.0,465.0
city12,2018.0,465.0
city12,2019.0,464.0
city12,2020.0,452.0
city12,2021.0,452.0
city12,2000.0,471.184835910977
city12,2002.0,469.9935873255374
city12,2003.0,469.39796303281787
city12,2004.0,468.8023387400981
city12,2005.0,468.2067144473783
city12,2006.0,467.61109015465854
city13,2007.0,489.0
city13,2008.0,481.0
city13,2009.0,475.0
city13,2010.0,473.0
city13,2011.0,472.0
city13,2012.0,477.0
city13,2013.0,480.0
city13,2014.0,482.0
city13,2015.0,484.0
city13,2016.0,485.0
city13,2017.0,488.0
city13,2018.0,491.0
city13,2019.0,493.0
city13,2020.0,497.0
city13,2021.0,499.0
city13,2000.0,492.3327046397583
city13,2002.0,490.5884571859674
city13,2003.0,489.71633345907185
city13,2004.0,488.8442097321763
city13,2005.0,487.97208600528074
city13,2006.0,487.0999622783852
city14,2002.0,239.0
city14,2003.0,248.0
city14,2004.0,258.0
city14,2005.0,269.0
city14,2006.0,278.0
city14,2007.0,281.0
city14,2008.0,275.0
city14,2009.0,285.0
city14,2010.0,287.0
city14,2011.0,296.0
city14,2012.0,298.0
city14,2013.0,301.0
city14,2014.0,304.0
city14,2015.0,293.0
city14,2016.0,291.0
city14,2017.0,289.0
city14,2018.0,287.0
city14,2019.0,286.0
city14,2020.0,285.0
city14,2021.0,284.0
city14,2000.0,239.5500000000011
city15,2008.0,870.0
city15,2009.0,870.0
city15,2010.0,865.0
city15,2011.0,855.0
city15,2012.0,855.0
city15,2013.0,855.0
city15,2014.0,860.0
city15,2015.0,860.0
city15,2016.0,865.0
city15,2017.0,870.0
city15,2018.0,875.0
city15,2019.0,880.0
city15,2020.0,905.0
city15,2021.0,905.0
city15,2000.0,866.5501165501165
city15,2001.0,866.3927738927739
city15,2002.0,866.2354312354312
city15,2003.0,866.0780885780885
city15,2004.0,865.9207459207458
city15,2005.0,865.7634032634032
city15,2006.0,865.6060606060605
city16,2002.0,275.0
city16,2003.0,280.0
city16,2004.0,285.0
city16,2005.0,285.0
city16,2006.0,290.0
city16,2007.0,290.0
city16,2008.0,285.0
city16,2009.0,285.0
city16,2010.0,285.0
city16,2011.0,280.0
city16,2012.0,280.0
city16,2013.0,280.0
city16,2014.0,280.0
city16,2015.0,280.0
city16,2016.0,280.0
city16,2017.0,285.0
city16,2018.0,285.0
city16,2019.0,285.0
city16,2020.0,285.0
city16,2021.0,285.0
city16,2000.0,282.25
city17,2002.0,995.0
city17,2003.0,980.0
city17,2004.0,970.0
city17,2005.0,965.0
city17,2006.0,945.0
city17,2007.0,995.0
city17,2008.0,1050.0
city17,2009.0,1110.0
city17,2010.0,1185.0
city17,2011.0,1270.0
city17,2012.0,1345.0
city17,2013.0,1415.0
city17,2014.0,1470.0
city17,2015.0,1525.0
city17,2016.0,1590.0
city17,2017.0,1675.0
city17,2018.0,1745.0
city17,2019.0,1795.0
city17,2020.0,1830.0
city17,2021.0,1870.0
city17,2000.0,797.5
city18,2008.0,435.0
city18,2009.0,440.0
city18,2010.0,445.0
city18,2011.0,460.0
city18,2012.0,465.0
city18,2013.0,470.0
city18,2014.0,470.0
city18,2015.0,470.0
city18,2016.0,470.0
city18,2017.0,470.0
city18,2018.0,470.0
city18,2019.0,470.0
city18,2020.0,525.0
city18,2021.0,525.0
city18,2000.0,405.92657342657367
city18,2001.0,410.05244755244894
city18,2002.0,414.1783216783224
city18,2003.0,418.30419580419584
city18,2004.0,422.4300699300711
city18,2005.0,426.55594405594456
city18,2006.0,430.681818181818
city19,2007.0,500.0
city19,2008.0,510.0
city19,2009.0,515.0
city19,2010.0,520.0
city19,2011.0,535.0
city19,2012.0,540.0
city19,2013.0,540.0
city19,2014.0,540.0
city19,2015.0,545.0
city19,2016.0,545.0
city19,2017.0,550.0
city19,2018.0,555.0
city19,2019.0,560.0
city19,2020.0,560.0
city19,2021.0,705.0
city19,2000.0,464.5571095571104
city19,2001.0,469.99417249417274
city19,2002.0,475.4312354312369
city19,2003.0,480.8682983682993
city19,2004.0,486.30536130536166
city19,2005.0,491.742424242424
city2,2007.0,584.0
city2,2008.0,599.0
city2,2009.0,611.0
city2,2010.0,620.0
city2,2011.0,638.0
city2,2012.0,643.0
city2,2013.0,647.0
city2,2014.0,648.0
city2,2015.0,650.0
city2,2016.0,651.0
city2,2017.0,653.0
city2,2018.0,655.0
city2,2019.0,657.0
city2,2020.0,745.0
city2,2021.0,746.0
city2,2000.0,522.3534515277242
city2,2002.0,540.1693700490359
city2,2003.0,549.0773293096936
city2,2004.0,557.9852885703513
city2,2005.0,566.8932478310053
city2,2006.0,575.801207091663
city20,2007.0,220.0
city20,2008.0,220.0
city20,2009.0,220.0
city20,2010.0,225.0
city20,2011.0,210.0
city20,2012.0,210.0
city20,2013.0,210.0
city20,2014.0,210.0
city20,2015.0,210.0
city20,2016.0,210.0
city20,2017.0,215.0
city20,2018.0,220.0
city20,2019.0,220.0
city20,2020.0,220.0
city20,2021.0,225.0
city20,2000.0,227.46503496503465
city20,2001.0,226.3811188811187
city20,2002.0,225.29720279720277
city20,2003.0,224.21328671328638
city20,2004.0,223.12937062937044
city20,2005.0,222.0454545454545
city21,2007.0,773.0
city21,2008.0,786.0
city21,2009.0,797.0
city21,2010.0,810.0
city21,2011.0,870.0
city21,2012.0,874.0
city21,2013.0,880.0
city21,2014.0,884.0
city21,2015.0,889.0
city21,2016.0,902.0
city21,2017.0,919.0
city21,2018.0,947.0
city21,2019.0,981.0
city21,2020.0,1036.0
city21,2021.0,1194.0
city21,2000.0,668.5046620046596
city21,2001.0,683.8158508158485
city21,2002.0,699.1270396270374
city21,2003.0,714.4382284382264
city21,2004.0,729.7494172494153
city21,2005.0,745.0606060606042
city22,2007.0,719.0
city22,2008.0,741.0
city22,2009.0,759.0
city22,2010.0,771.0
city22,2011.0,801.0
city22,2012.0,811.0
city22,2013.0,816.0
city22,2014.0,819.0
city22,2015.0,822.0
city22,2016.0,824.0
city22,2017.0,827.0
city22,2018.0,834.0
city22,2019.0,844.0
city22,2020.0,928.0
city22,2021.0,932.0
city22,2000.0,627.6574877404782
city22,2002.0,654.5914749151307
city22,2003.0,668.0584685024551
city22,2004.0,681.5254620897795
city22,2005.0,694.9924556771039
city22,2006.0,708.4594492644319
city23,2002.0,128.0
city23,2003.0,132.0
city23,2004.0,135.0
city23,2005.0,139.0
city23,2006.0,142.0
city23,2007.0,144.0
city23,2008.0,147.0
city23,2009.0,151.0
city23,2010.0,154.0
city23,2011.0,156.0
city23,2012.0,165.0
city23,2013.0,173.0
city23,2014.0,179.0
city23,2015.0,186.0
city23,2016.0,190.0
city23,2017.0,196.0
city23,2018.0,207.0
city23,2019.0,221.0
city23,2020.0,233.0
city23,2021.0,245.0
city23,2000.0,116.69999999999891
city24,2002.0,nan
city24,2003.0,nan
