city,year,live_popularity,born_popularity
city1,2007.0,277.0,258.0
city1,2008.0,280.0,258.0
city1,2009.0,282.0,259.0
city1,2010.0,285.0,259.0
city1,2011.0,289.0,260.0
city1,2012.0,290.0,261.0
city1,2013.0,291.0,261.0
city1,2014.0,292.0,262.0
city1,2015.0,293.0,264.0
city1,2016.0,295.0,264.0
city1,2017.0,298.0,265.0
city1,2018.0,300.0,266.0
city1,2019.0,303.0,267.0
city1,2020.0,306.0,268.0
city10,2007.0,228.0,253.0
city10,2008.0,229.0,254.0
city10,2009.0,230.0,255.0
city10,2010.0,231.0,257.0
city10,2011.0,212.0,260.0
city10,2012.0,212.0,261.0
city10,2013.0,212.0,263.0
city10,2014.0,212.0,264.0
city10,2015.0,213.0,266.0
city10,2016.0,214.0,266.0
city10,2017.0,217.0,268.0
city10,2018.0,219.0,269.0
city10,2019.0,220.0,270.0
city10,2020.0,221.0,271.0
city11,2007.0,408.0,336.0
city11,2008.0,419.0,337.0
city11,2009.0,423.0,338.0
city11,2010.0,431.0,340.0
city11,2011.0,450.0,342.0
city11,2012.0,453.0,343.0
city11,2013.0,454.0,345.0
city11,2014.0,456.0,346.0
city11,2015.0,457.0,348.0
city11,2016.0,459.0,349.0
city11,2017.0,461.0,352.0
city11,2018.0,466.0,356.0
city11,2019.0,473.0,360.0
city11,2020.0,480.0,364.0
city12,2007.0,463.0,504.0
city12,2008.0,458.0,501.0
city12,2009.0,464.0,501.0
city12,2010.0,467.0,504.0
city12,2011.0,462.0,505.0
city12,2012.0,463.0,507.0
city12,2013.0,463.0,506.0
city12,2014.0,463.0,508.0
city12,2015.0,464.0,509.0
city12,2016.0,464.0,508.0
city12,2017.0,465.0,508.0
city12,2018.0,465.0,505.0
city12,2019.0,464.0,503.0
city12,2020.0,452.0,501.0
city13,2007.0,489.0,529.0
city13,2008.0,481.0,532.0
city13,2009.0,475.0,535.0
city13,2010.0,473.0,541.0
city13,2011.0,472.0,546.0
city13,2012.0,477.0,555.0
city13,2013.0,480.0,560.0
city13,2014.0,482.0,572.0
city13,2015.0,484.0,581.0
city13,2016.0,485.0,586.0
city13,2017.0,488.0,592.0
city13,2018.0,491.0,591.0
city13,2019.0,493.0,591.0
city13,2020.0,497.0,592.0
city14,2002.0,239.0,325.0
city14,2003.0,248.0,332.0
city14,2004.0,258.0,334.0
city14,2005.0,269.0,333.0
city14,2006.0,278.0,337.0
city14,2007.0,281.0,341.0
city14,2008.0,275.0,335.0
city14,2009.0,285.0,347.0
city14,2010.0,287.0,349.0
city14,2011.0,296.0,358.0
city14,2012.0,298.0,367.0
city14,2013.0,301.0,355.0
city14,2014.0,304.0,361.0
city14,2015.0,293.0,365.0
city14,2016.0,291.0,366.0
city14,2017.0,289.0,373.0
city14,2018.0,287.0,373.0
city14,2019.0,286.0,373.0
city14,2020.0,285.0,373.0
city15,2008.0,870.0,940.0
city15,2009.0,870.0,945.0
city15,2010.0,865.0,955.0
city15,2011.0,855.0,970.0
city15,2012.0,855.0,975.0
city15,2013.0,855.0,990.0
city15,2014.0,860.0,1005.0
city15,2015.0,860.0,1025.0
city15,2016.0,865.0,1030.0
city15,2017.0,870.0,1040.0
city15,2018.0,875.0,1040.0
city15,2019.0,880.0,1045.0
city15,2020.0,905.0,1040.0
city16,2002.0,275.0,310.0
city16,2003.0,280.0,315.0
city16,2004.0,285.0,315.0
city16,2005.0,285.0,315.0
city16,2006.0,290.0,320.0
city16,2007.0,290.0,320.0
city16,2008.0,285.0,320.0
city16,2009.0,285.0,320.0
city16,2010.0,285.0,325.0
city16,2011.0,280.0,325.0
city16,2012.0,280.0,330.0
city16,2013.0,280.0,325.0
city16,2014.0,280.0,325.0
city16,2015.0,280.0,330.0
city16,2016.0,280.0,330.0
city16,2017.0,285.0,335.0
city16,2018.0,285.0,335.0
city16,2019.0,285.0,335.0
city16,2020.0,285.0,335.0
city17,2002.0,995.0,710.0
city17,2003.0,980.0,720.0
city17,2004.0,970.0,720.0
city17,2005.0,965.0,735.0
city17,2006.0,945.0,750.0
city17,2007.0,995.0,760.0
city17,2008.0,1050.0,770.0
city17,2009.0,1110.0,780.0
city17,2010.0,1185.0,790.0
city17,2011.0,1270.0,805.0
city17,2012.0,1345.0,810.0
city17,2013.0,1415.0,820.0
city17,2014.0,1470.0,830.0
city17,2015.0,1525.0,840.0
city17,2016.0,1590.0,850.0
city17,2017.0,1675.0,865.0
city17,2018.0,1745.0,895.0
city17,2019.0,1795.0,925.0
city17,2020.0,1830.0,950.0
city18,2008.0,435.0,355.0
city18,2009.0,440.0,360.0
city18,2010.0,445.0,360.0
city18,2011.0,460.0,360.0
city18,2012.0,465.0,360.0
city18,2013.0,470.0,365.0
city18,2014.0,470.0,365.0
city18,2015.0,470.0,370.0
city18,2016.0,470.0,370.0
city18,2017.0,470.0,375.0
city18,2018.0,470.0,380.0
city18,2019.0,470.0,380.0
city18,2020.0,525.0,385.0
city19,2007.0,500.0,455.0
city19,2008.0,510.0,460.0
city19,2009.0,515.0,460.0
city19,2010.0,520.0,465.0
city19,2011.0,535.0,465.0
city19,2012.0,540.0,470.0
city19,2013.0,540.0,470.0
city19,2014.0,540.0,470.0
city19,2015.0,545.0,475.0
city19,2016.0,545.0,475.0
city19,2017.0,550.0,480.0
city19,2018.0,555.0,485.0
city19,2019.0,560.0,490.0
city19,2020.0,560.0,490.0
city2,2007.0,584.0,458.0
city2,2008.0,599.0,462.0
city2,2009.0,611.0,464.0
city2,2010.0,620.0,466.0
city2,2011.0,638.0,467.0
city2,2012.0,643.0,468.0
city2,2013.0,647.0,470.0
city2,2014.0,648.0,472.0
city2,2015.0,650.0,477.0
city2,2016.0,651.0,481.0
city2,2017.0,653.0,486.0
city2,2018.0,655.0,493.0
city2,2019.0,657.0,497.0
city2,2020.0,745.0,503.0
city20,2007.0,220.0,245.0
city20,2008.0,220.0,245.0
city20,2009.0,220.0,250.0
city20,2010.0,225.0,250.0
city20,2011.0,210.0,250.0
city20,2012.0,210.0,250.0
city20,2013.0,210.0,250.0
city20,2014.0,210.0,255.0
city20,2015.0,210.0,255.0
city20,2016.0,210.0,255.0
city20,2017.0,215.0,255.0
city20,2018.0,220.0,255.0
city20,2019.0,220.0,255.0
city20,2020.0,220.0,255.0
city21,2007.0,773.0,666.0
city21,2008.0,786.0,672.0
city21,2009.0,797.0,678.0
city21,2010.0,810.0,683.0
city21,2011.0,870.0,689.0
city21,2012.0,874.0,696.0
city21,2013.0,880.0,701.0
city21,2014.0,884.0,707.0
city21,2015.0,889.0,716.0
city21,2016.0,902.0,724.0
city21,2017.0,919.0,736.0
city21,2018.0,947.0,754.0
city21,2019.0,981.0,774.0
city21,2020.0,1036.0,794.0
city22,2007.0,719.0,607.0
city22,2008.0,741.0,617.0
city22,2009.0,759.0,624.0
city22,2010.0,771.0,630.0
city22,2011.0,801.0,632.0
city22,2012.0,811.0,636.0
city22,2013.0,816.0,638.0
city22,2014.0,819.0,643.0
city22,2015.0,822.0,649.0
city22,2016.0,824.0,653.0
city22,2017.0,827.0,663.0
city22,2018.0,834.0,681.0
city22,2019.0,844.0,697.0
city22,2020.0,928.0,710.0
city23,2002.0,128.0,76.0
city23,2003.0,132.0,79.0
city23,2004.0,135.0,82.0
city23,2005.0,139.0,86.0
city23,2006.0,142.0,90.0
city23,2007.0,144.0,93.0
city23,2008.0,147.0,96.0
city23,2009.0,151.0,99.0
city23,2010.0,154.0,103.0
city23,2011.0,156.0,105.0
