city,year,popularity_dense
city1,2001.0,460.48131868131895
city1,2002.0,464.0681318681318
city1,2003.0,467.65494505494553
city1,2004.0,471.24175824175836
city1,2005.0,469.0
city1,2006.0,477.0
city1,2007.0,483.0
city1,2008.0,486.0
city1,2009.0,491.0
city1,2010.0,499.0
city1,2011.0,500.0
city1,2012.0,501.0
city1,2013.0,503.0
city1,2014.0,505.0
city1,2015.0,509.0
city1,2016.0,513.0
city1,2017.0,516.0
city1,2018.0,522.0
city1,2019.0,528.0
city1,2020.0,581.0
city1,2021.0,587.0
city10,2001.0,133.50109890109889
city10,2002.0,132.86153846153843
city10,2003.0,132.22197802197798
city10,2004.0,131.58241758241752
city10,2005.0,131.0
city10,2006.0,132.0
city10,2007.0,132.0
city10,2008.0,133.0
city10,2009.0,133.0
city10,2010.0,122.0
city10,2011.0,122.0
city10,2012.0,122.0
city10,2013.0,123.0
city10,2014.0,123.0
city10,2015.0,124.0
city10,2016.0,125.0
city10,2017.0,126.0
city10,2018.0,127.0
city10,2019.0,128.0
city10,2020.0,145.0
city10,2021.0,145.0
city11,2001.0,1044.1846153846163
city11,2002.0,1051.309890109891
city11,2003.0,1058.4351648351658
city11,2004.0,1065.5604395604405
city11,2005.0,1025.0
city11,2006.0,1046.0
city11,2007.0,1073.0
city11,2008.0,1085.0
city11,2009.0,1106.0
city11,2010.0,1154.0
city11,2011.0,1162.0
city11,2012.0,1165.0
city11,2013.0,1169.0
city11,2014.0,1172.0
city11,2015.0,1176.0
city11,2016.0,1099.0
city11,2017.0,1109.0
city11,2018.0,1125.0
city11,2019.0,1143.0
city11,2020.0,1286.0
city11,2021.0,1313.0
city12,2001.0,869.0
city12,2002.0,870.0
city12,2003.0,870.0
city12,2004.0,868.0
city12,2005.0,866.0
city12,2006.0,869.0
city12,2007.0,864.0
city12,2008.0,864.0
city12,2009.0,869.0
city12,2010.0,872.0
city12,2011.0,876.0
city12,2012.0,875.0
city12,2013.0,801.0
city12,2014.0,879.0
city12,2015.0,878.0
city12,2016.0,2136.0
city12,2017.0,854.7450549450555
city12,2018.0,2192.0
city12,2019.0,2208.0
city12,2020.0,851.461538461539
city12,2021.0,850.3670329670335
city13,2001.0,597.0
city13,2002.0,600.0
