city,year,popularity_dense
city1,2006,477
city1,2007,483
city1,2008,486
city1,2009,491
city1,2010,499
city1,2011,500
city1,2012,501
city1,2013,503
city1,2014,505
city1,2015,509
city1,2016,513
city1,2017,516
city1,2018,522
city1,2019,528
city1,2020,581
city1,2021,587
city10,2006,132
city10,2007,132
city10,2008,133
city10,2009,133
city10,2010,122
city10,2011,122
city10,2012,122
city10,2013,123
city10,2014,123
city10,2015,124
city10,2016,125
city10,2017,126
city10,2018,127
city10,2019,128
city10,2020,145
city10,2021,145
city11,2006,1046
city11,2007,1073
city11,2008,1085
city11,2009,1106
city11,2010,1154
city11,2011,1162
city11,2012,1165
city11,2013,1169
city11,2014,1172
city11,2015,1176
city11,2016,1099
city11,2017,1109
city11,2018,1125
city11,2019,1143
city11,2020,1286
city11,2021,1313
city12,2002,870
city12,2003,870
city12,2004,868
city12,2005,866
city12,2006,869
city12,2007,864
city12,2008,864
city12,2009,869
city12,2010,872
city12,2011,876
city12,2012,875
city12,2013,801
city12,2014,879
city12,2015,878
city12,2016,2136
city12,2018,2192
city13,2002,600
city13,2003,605
city13,2004,609
city13,2005,613
city13,2006,619
city13,2007,621
city13,2008,625
city13,2009,632
city13,2010,639
city13,2011,649
city13,2012,655
city13,2013,565
city13,2014,681
city13,2015,687
city13,2016,2072
city13,2018,2293
city14,2002,157
city14,2003,163
city14,2004,170
city14,2005,176
city14,2006,176
city14,2007,178
city14,2008,183
city14,2009,184
city14,2010,189
city14,2011,191
city14,2012,192
city14,2013,194
city14,2014,196
city14,2015,186
city14,2016,185
city14,2017,184
city14,2018,183
city14,2019,182
city14,2020,181
city15,2001,800
city15,2002,800
city15,2003,805
city15,2004,810
city15,2005,820
city15,2006,830
city15,2007,835
city15,2008,840
city15,2009,850
city15,2010,860
city15,2011,865
city15,2012,875
city15,2013,760
city15,2014,865
city15,2015,870
city15,2016,3020
city15,2018,3415
city16,2001,150
city16,2002,150
city16,2003,155
city16,2004,155
city16,2005,155
city16,2006,155
city16,2007,160
city16,2008,155
city16,2009,155
city16,2010,150
city16,2011,155
city16,2012,155
city16,2013,155
city16,2014,155
city16,2015,150
city16,2016,150
city16,2017,150
city16,2018,155
city16,2019,155
city16,2020,155
city17,2001,1340
city17,2002,1320
city17,2003,1305
city17,2004,1295
city17,2005,1275
city17,2006,1310
city17,2007,1350
city17,2008,1530
city17,2009,1625
city17,2010,1740
city17,2011,1750
city17,2012,1770
city17,2013,1780
city17,2014,1800
city17,2015,2200
city17,2016,2315
city17,2017,2405
city17,2018,2480
city17,2019,2530
city17,2020,2585
city18,2001,780
city18,2002,785
city18,2003,790
city18,2004,795
city18,2005,800
city18,2006,810
city18,2007,815
city18,2008,815
city18,2009,820
city18,2010,825
city18,2011,825
city18,2012,830
city18,2013,1070
city18,2014,840
city18,2015,845
city18,2016,2425
city18,2018,3025
city19,2006,455
city19,2007,465
city19,2008,470
city19,2009,475
city19,2010,490
city19,2011,490
city19,2012,495
city19,2013,495
city19,2014,495
city19,2015,500
city19,2016,505
city19,2017,510
city19,2018,510
city19,2019,515
city19,2020,645
city19,2021,650
city2,2002,916
city2,2003,924
city2,2004,934
city2,2005,946
city2,2006,956
city2,2007,964
city2,2008,970
city2,2009,973
city2,2010,1008
city2,2011,1011
city2,2012,1016
city2,2013,1401
city2,2014,1031
city2,2015,1040
city2,2016,1990
city2,2018,2052
city20,2006,250
city20,2007,250
city20,2008,250
city20,2009,250
city20,2010,240
city20,2011,240
city20,2012,240
city20,2013,240
city20,2014,240
city20,2015,240
city20,2016,245
city20,2017,245
city20,2018,250
city20,2019,250
city20,2020,255
city20,2021,255
city21,2007,466
city21,2008,474
city21,2009,480
city21,2010,488
city21,2011,524
city21,2012,526
city21,2013,530
city21,2014,533
city21,2015,536
city21,2016,543
city21,2017,553
city21,2018,570
city21,2019,580
city21,2020,613
city21,2021,706
city22,2002,838
city22,2003,855
city22,2004,869
city22,2005,887
city22,2006,905
city22,2007,923
city22,2008,938
city22,2009,949
city22,2010,957
city22,2011,960
city22,2012,966
city22,2013,969
city22,2014,1243
city22,2015,985
city22,2016,991
city22,2017,1484
city22,2019,1555
city23,2002,761
city23,2003,780
city23,2004,799
city23,2005,823
city23,2006,839
city23,2007,859
city23,2008,862
city23,2009,914
city23,2010,932
city23,2011,944
city23,2012,948
city23,2013,918
city23,2014,922
city23,2015,936
city23,2016,1095
city23,2017,1131
city23,2018,1192
city23,2019,1272
city23,2020,1352
city23,2021,1420
city24,2007,793
city24,2008,804
city24,2009,810
city24,2010,817
city24,2011,834
city24,2012,842
city24,2013,850
city24,2014,856
city24,2015,864
city24,2016,872
city24,2017,885
city24,2018,895
city24,2019,912
city24,2020,1114
city24,2021,1151
city25,2007,714
city25,2008,704
city25,2009,721
city25,2010,734
city25,2011,776
city25,2012,778
city25,2013,779
city25,2014,782
city25,2015,797
city25,2016,798
city25,2017,804
city25,2018,817
city25,2019,837
city25,2020,872
city25,2021,960
city26,2002,978
city26,2003,975
city26,2004,972
city26,2005,967
city26,2006,963
city26,2007,962
city26,2008,958
city26,2009,955
city26,2010,953
city26,2011,954
city26,2012,956
