city,length,start,end
city1,18,2003,2021
city2,20,2002,2021
city3,16,2006,2021
city4,18,2003,2021
city5,20,2002,2021
city6,16,2006,2021
city7,18,2003,2021
city8,20,2002,2021
city9,16,2006,2021
city10,18,2003,2021
city11,18,2003,2021
city12,20,2002,2021
city13,20,2002,2021
city14,16,2006,2021
city15,19,2003,2021
city16,15,2007,2021
city17,15,2007,2021
city18,19,2003,2021
city19,17,2004,2020
city20,17,2004,2020
city21,17,2004,2020
city22,19,2003,2021
city23,15,2007,2021
city24,17,2004,2020
city25,17,2004,2020
city26,19,2003,2021
city27,15,2007,2021
city28,17,2004,2020
city29,17,2004,2020
city30,19,2003,2021
city31,15,2007,2021
city32,17,2004,2020
city33,17,2004,2020
city34,19,2003,2021
city35,15,2007,2021
city36,17,2004,2020
city37,19,2003,2021
city38,15,2007,2021
city39,17,2004,2020
city40,19,2003,2021
