city,length,start,end
city1,18,2003,2021
city2,20,2002,2021
city3,22,2000,2021
city4,18,2003,2021
city5,20,2002,2021
city6,22,2000,2021
city7,18,2003,2021
city8,20,2002,2021
city9,22,2000,2021
city10,18,2003,2021
city11,18,2003,2021
city12,20,2002,2021
city13,20,2002,2021
city14,22,2000,2021
city15,19,2003,2021
city16,21,2001,2021
city17,21,2001,2021
city18,19,2003,2021
city19,17,2004,2020
city20,17,2004,2020
city21,17,2004,2020
city22,19,2003,2021
city23,21,2001,2021
city24,20,2002,2021
city25,36,2003,2021
city27,21,2001,2021
city28,20,2002,2021
city29,36,2003,2021
city31,42,2001,2021
city32,20,2002,2021
city33,36,2003,2021
city35,21,2001,2021
city36,20,2002,2021
city38,21,2001,2021
city39,20,2002,2021
