city,length,start,end
city1,16,2007,2022
city2,16,2007,2022
city3,17,2006,2022
city4,16,2007,2022
city5,16,2007,2022
city6,17,2006,2022
city7,16,2007,2022
city8,16,2007,2022
city9,17,2006,2022
city10,16,2007,2022
city11,16,2007,2022
city12,16,2007,2022
city13,16,2007,2022
city14,17,2006,2022
city15,16,2007,2022
city16,17,2006,2022
city17,17,2006,2022
city18,16,2007,2022
city19,16,2007,2022
city20,16,2007,2022
city21,17,2006,2022
city22,16,2006,2021
city23,17,2005,2021
city24,20,2003,2022
city25,17,2006,2022
city26,16,2006,2021
city27,17,2005,2021
city28,20,2003,2022
city29,17,2006,2022
city30,16,2006,2021
city31,17,2005,2021
city32,20,2003,2022
city33,17,2006,2022
city34,16,2006,2021
city35,17,2005,2021
city36,20,2003,2022
city37,16,2006,2021
city38,17,2005,2021
city39,20,2003,2022
city40,16,2006,2021
