income,city1,city2,city4,city6,city7,city8,city9,city10,city11,city12,city13,city14,city16,city17,city18,city19,city20,city21,city22,city23,city25,city27,city29,city30,city31,city33,city35,city38
2011,17112.836363852024,17258.9333345294,17584.96969693899,13860.0,18085.18788021803,2276.14285582304,8188.0,10180.357575654984,18784.86666738987,11044,7195.194805055857,6732.0,6316,12672,12636.0,12964.349782586098,10780.394804894924,26990.70779234171,13269.674024522305,10185,26526.611688554287,6516,20702.880519270897,8432.035713225603,8586,23410.207792401314,6909,7524
2012,18635.866666674614,18508.0,19457.066666543484,15684.0,19664.533334434032,4377.476189479232,9504.0,11160.466666519642,20550.066667199135,12492,8435.809523701668,7772.0,7460,14816,14836.0,14110.114284873009,11672.07619023323,29743.7857144475,14150.814284563065,11856,29089.828571677208,7893,23012.98571419716,9108.535713523626,9993,25591.785714507103,8256,9012
2013,20256.0,20584.0,21400.0,17500.0,21304.0,6444.619046911597,10704.0,12168.0,22396.0,13980,9715.714285641909,8772.0,8576,16788,16234.8775665164,15398.571427881718,12717.714285552502,32681.42857158184,15206.57142752409,13398,31842.642857313156,9030,25489.928571283817,9881.821428120136,11343,27988.928571522236,9561,10365
2014,22404.0,22264.0,23780.0,20092.0,23536.0,8477.571428135037,11912.0,13632.0,24676.0,15076,10700.0,9884.0,9580,18884,18002.285626798868,16660.0,13808.0,35763.0,16530.0,14940,34656.0,10095,28215.0,10751.892856895924,12684,30600.0,10689,11661
2015,24408.0,24152.0,25900.0,22060.0,25648.0,10024.0,13224.0,15000.0,26836.0,16408,12772.0,10800.0,10532,17660,20132.0,18544.0,15352.0,39237.0,17661.0,18393,38073.0,11190,30948.0,11697.0,12744,33477.0,11379,12642
2016,26508.0,26156.0,28308.0,24156.0,27744.0,14316.0,14520.0,16456.0,28996.0,17860,13928.0,12044.0,11604,19320,21912.0,20296.0,16884.0,42642.0,19482.0,20508,41373.0,12453,33786.0,12777.0,13815,36459.0,12405,13980
2017,28996.0,28356.0,30788.0,26388.0,30328.0,11928.0,15692.0,18072.0,31436.0,19492,15268.0,13300.0,12788,21448,23776.0,21896.0,18420.0,46116.0,21156.0,22887,44640.0,13662,36915.0,13932.0,15225,39600.0,13335,15114
2018,31764.0,30784.0,33812.0,28764.0,33096.0,17056.0,16948.0,19920.0,34276.0,21216,16636.0,14620.0,14104,23480,25832.0,23920.0,20224.0,49830.0,23133.0,23496,48231.0,14904,40437.0,15273.0,16473,43185.0,14481,16428
2019,34800.0,33572.0,36784.0,31500.0,36120.0,18564.0,18480.0,21928.0,37412.0,23116,18120.0,16028.0,15432,26020,28012.0,26216.0,22252.0,54348.0,25263.0,26196,52401.0,16245,43971.0,16605.0,18153,46920.0,15888,17694
2020,37244.0,35748.0,39096.0,33440.0,38696.0,19728.0,19620.0,23636.0,39800.0,24612,19464.0,17312.0,16940,28864,30488.0,28508.0,24424.0,59259.0,27636.0,29067,56982.0,17733,47988.0,18060.0,19872,51489.0,17340,19215
2021,41300.0,39620.0,42944.0,37064.0,42636.0,21884.0,21560.0,26384.0,43596.0,27400,21576.0,19144.0,18288,31264,32364.0,30364.0,26288.0,61878.0,29619.0,31116,59952.0,18960,50643.0,19236.0,21129,54024.0,18756,20625
2022,44112.0,41932.0,45924.0,39445.11515173316,45708.0,23404.0,22787.19999986887,28468.0,46276.0,29416,23056.0,20600.969696104527,20252,34532,35820.0,33708.0,29264.0,67707.0,32700.0,34392,65436.0,20817,55497.0,21372.0,23376,59586.0,20691,22686
