income,city1,city3,city6,city14,city9,city4,city7,city10,city11,city2,city8,city12,city13,city16,city17,city18,city19,city20,city23,city27,city31,city35,city38,city21,city25,city29,city22,city30,city28,city24,city32,city36,city39
2011,29021.37878859043,36505.0,30715.0,14735.0,16110.0,30269.818181961775,32542.78030270338,22634.234848171473,31066.772727295756,32463.75757753849,20260.0,23595,15356.090908870101,18020,30655,26265.0,26881.47186088562,21302.893939197063,25380,15177,21150,15303,16830,30511.589609384537,30633.087012887,25685.941558122635,28311,24739.150001764297,24996,25320,21783,17628,23793
2012,32176.83333390951,40740.0,34580.0,16520.0,18030.0,33916.00000010431,35919.24999970198,25112.249999672174,34693.83333336562,35660.0,22995.0,26570,16990.0,20325,34435,29825.0,29909.523809045553,23321.33333313465,28728,17472,23922,17583,19038,33820.88571333885,33758.15714287758,29104.857142567635,32199,24435.250001311302,28566,28890,24954,20193,27342
2013,35750.0,44650.0,38035.0,18435.0,20035.0,37795.0,39565.0,28005.0,38670.0,38995.0,23556.2879473567,29110,18845.0,23180,38050,33585.0,33060.95238053799,25534.16666650772,32976,20022,27015,20226,21753,37266.42857068777,37038.285714268684,32606.785714030266,36321,24342.0,32142,32568,28188,22959,30951
2014,38955.0,40945.0,36555.0,18245.0,19540.0,41465.0,43165.0,30410.0,42140.0,41730.0,25795.0,31345,20395.0,25590,42045,36149.95734027028,36385.0,27980.0,36372,22206,29772,22371,23928,40923.0,40425.0,36480.0,39879,26898.0,35226,35646,30888,25236,33981
2015,42235.0,44630.0,39755.0,20015.0,21395.0,44845.0,46745.0,32875.0,45495.0,45125.0,28105.0,34090,22230.0,21580,42950,39480.0,39805.0,30580.0,35286,21444,24975,21315,21723,44631.0,44154.0,39762.0,42567,23595.0,38292,38760,33534,27594,36939
2016,45790.0,48695.0,43120.0,21815.0,23320.0,48420.0,50305.0,35965.0,48925.0,48625.0,30335.0,36825,24085.0,23500,46730,42710.0,43190.0,33210.0,38322,23259,27114,23127,23745,48315.0,47850.0,43266.0,46104,25728.0,40368,39888,33792,25791,38733
2017,49930.0,52935.0,46845.0,23780.0,25315.0,52515.0,54445.0,38995.0,53055.0,52655.0,24880.0,40055,26115.0,25850,50940,46055.0,46550.0,36185.0,42537,25119,29556,24885,25905,52185.0,51558.0,47160.0,49995,27852.0,43596,43050,36435,27705,41577
2018,54390.0,57540.0,50735.0,25490.0,27160.0,56620.0,59045.0,42555.0,57435.0,56985.0,35825.0,43450,28280.0,28305,55400,49955.0,50650.0,39575.0,46824,27174,32475,27117,28275,56274.0,55656.0,51372.0,54537,30291.0,47175,46641,39408,29922,44763
2019,59025.0,62520.0,55230.0,27125.0,29405.0,61475.0,63935.0,46435.0,61940.0,61915.0,38950.0,47215,30610.0,30285,59980,53995.0,54880.0,43125.0,50712,29076,35463,29046,30678,61170.0,60132.0,55704.0,59307,32748.0,50817,50145,42276,32001,47910
2020,61740.0,64875.0,57445.0,28015.0,30730.0,63700.0,66690.0,48530.0,64120.0,64710.0,40315.0,49100,32015.0,32630,65050,58340.0,59345.0,46930.0,55218,31413,38595,31239,33258,66066.0,64884.0,60351.0,64371,35388.0,45450,41472,37542,26289,40602
2021,67980.0,70845.0,62940.0,30445.0,33420.0,69100.0,73100.0,53255.0,69835.0,70480.0,43950.0,53815,35055.0,34415,68300,60525.0,61545.0,49300.0,58473,32919,39921,32925,34752,68664.0,68007.0,62598.0,67551,36720.0,55902,53328,46413,35097,52683
2022,71040.0,76651.09091114998,67531.84848451614,32194.969697117805,35696.24242427945,71965.0,76195.0,55780.0,72095.0,73330.0,46040.0,56575,36755.0,37620,74415,65820.0,67370.0,54575.0,64233,35598,43620,35988,37791,74700.0,73869.0,68052.0,73593,39861.0,60237,57447,50094,37842,56625
