年份,unemploymentRate
2000,3.5380041788754144
2001,3.185921623795128
2002,3.4062366319170754
2003,3.5285792066372834
2004,3.4601965503068253
2005,3.2723684210526316
2006,3.2015037593984967
2007,3.0845864661654137
2008,2.989076890126366
2009,3.0481203007518802
2010,2.923697739892848
2011,2.7523262136379576
2012,2.6176986567887663
2013,2.443609022556391
2014,2.311827341846903
2015,2.279365580367711
2016,2.2485255038015795
2017,2.192105263157895
2018,2.1473684210526316
2019,2.0752663142113157
2020,2.048191239264981
2021,2.0943922305764406
2022,2.037419285913954
