年份,unemploymentRate
2000,2.769115671953754
2001,2.946154860836301
2002,3.2601108033240997
2003,3.4538088642659277
2004,3.4118421052631582
2005,3.246052631578947
2006,3.1894736842105265
2007,3.0736842105263156
2008,2.9747922437673124
2009,3.039473684210526
2010,2.9092105263157895
2011,2.746052631578947
2012,2.6223684210526317
2013,2.439473684210526
2014,2.319736842105263
2015,2.2958448753462606
2016,2.2618421052631574
2017,2.192105263157895
2018,2.1473684210526316
2019,2.1037396121883654
2020,2.0921052631578947
2021,2.195290858725762
2022,2.412220443451878
