averageWage,city1,city2,city3,city4,city5,city6,city7,city8,city9,city10,city11,city12,city13,city14,city15,city16,city17,city18,city19,city20,city21,city22,city23,city24,city25,city26,city27,city28,city29,city30,city31,city32,city33,city34,city35,city36,city37,city38,city39,city40
2001年,10340.0,11984,23036.0,11504,11776,12496.0,11460.0,7976,8216,10316.0,12148,7816,6812.0,6176.0,9340.0,8200.0,19090.0,11540,12390.0,10690.0,14312,13912,15176.0,10420,15512,9244,9124.0,10176,13204,8004,9100.0,9300,12496,7736,7080.0,6872,9732,8988.0,15328,10276
2002年,13044.0,13780,25940.0,14732,13668,14220.0,14728.0,8948,9472,13408.0,15352,9060,7940.0,9052.0,10500.0,10350.0,22770.0,13110,15700.0,14090.0,18316,16572,17036.0,11976,19088,10588,11928.0,12720,16232,8980,10260.0,10532,15172,8608,9516.0,7668,10760,9668.0,17684,11740
2003年,16648.0,15796,28216.0,16688,15920,15872.0,16860.0,9852,10380,15944.0,17876,10056,8700.0,10224.0,11890.0,12150.0,26220.0,14910,17540.0,16030.0,21416,19144,18504.0,14392,21120,12108,13564.0,14112,18832,10076,11168.0,12020,17240,9688,10516.0,9188,12004,11184.0,19172,13192
2004年,19968.0,18928,30608.0,18776,19788,17640.0,19692.0,10800,12436,18620.0,20776,11420,9284.0,12492.0,13550.0,13980.0,28810.0,17260,20550.0,18570.0,24664,22188,19200.0,16024,23688,13544,14424.0,15332,20996,11260,12404.0,13400,18912,10616,12032.0,10508,13800,13068.0,21180,15260
2005年,22024.0,22124,31928.0,22248,22508,19560.0,21576.0,12168,14528,22916.0,20700,13188,10336.0,14472.0,15810.0,16390.0,31590.0,19980,23260.0,22500.0,28888,26060,20084.0,17980,25820,15900,15840.0,17260,24880,12712,13736.0,15080,19576,11948,13580.0,12868,15732,14912.0,24264,17380
2006年,23872.0,25600,32476.0,25368,25012,22116.0,24628.0,14132,16104,24956.0,20644,15088,12112.0,16132.0,18850.0,18210.0,34330.0,22990,24020.0,26460.0,30576,29340,21844.0,20864,29044,18512,17112.0,20020,31076,15040,15028.0,17164,21684,13648,15076.0,14832,18160,16860.0,26004,19888
2007年,26040.0,29656,35104.0,28440,28008,25204.0,26912.0,16588,17148,27348.0,22624,17308,14048.0,17356.0,21900.0,20040.0,36770.0,26560,25040.0,28660.0,32788,32456,23772.0,22304,28948,21660,18956.0,23456,31944,17760,16660.0,19928,23020,15688,16944.0,16832,20844,18412.0,27608,22920
2008年,28504.0,34372,38796.0,33424,31400,28328.0,29952.0,19840,19884,31444.0,26004,21264,16848.0,20104.0,23710.0,23050.0,40560.0,30410,28850.0,32910.0,36496,35904,26612.0,26652,32924,25944,21564.0,27084,33360,21484,19376.0,23264,25992,18848,19884.0,21112,24284,20832.0,30132,27024
2009年,31456.0,38844,43452.0,38700,36088,31044.0,30636.0,23992,22036,36240.0,29216,25732,19984.0,22056.0,26820.0,25970.0,45700.0,34840,31580.0,35930.0,40192,39876,29700.0,31596,35832,30852,23084.0,30232,34128,26492,21672.0,26340,29592,22380,21808.0,24680,27320,23384.0,33672,30956
2010年,33840.0,43344,46720.0,40568,40260,34062.0,32500.0,28176,24256,41140.0,31960,29796,23808.0,23804.0,31180.0,28270.0,49520.0,39220,34770.0,39090.0,43944,43620,31760.0,35660,39136,35220,25384.0,33256,36820,29548,29582.0,29948,33888,26672,23940.0,26984,30604,26316.0,36920,34204
2011年,36484.0,47004,50456.0,43632,45564,37080.0,35124.0,32780,25808,44972.0,36316,34488,27612.0,26376.0,34240.0,31870.0,54490.0,44210,39470.0,44050.0,48768,48780,34404.0,37852,43476,39444,27740.0,37800,40564,33836,37492.0,33896,37604,30460,26788.0,30440,35432,30112.0,41196,37672
2012年,41104.0,51516,55140.0,52904,51656,40664.0,39808.0,36984,30580,49068.0,42984,38324,31992.0,31236.0,39490.0,35830.0,57470.0,49750,42860.0,50050.0,54408,54708,41052.0,44004,49756,44568,32784.0,43160,42196,38816,31908.0,37940,42344,35496,29820.0,34976,40284,34112.0,45608,42660
2013年,46288.0,56884,59008.0,57280,57620,46204.0,45612.0,41968,36664,56608.0,48328,42980,35900.0,35980.0,44070.0,40130.0,67510.0,55760,47200.0,54710.0,56416,63148,48484.0,48828,56252,49396,37716.0,49052,47008,44128,37984.0,41996,48212,40356,33960.0,38988,47796,39152.0,50192,47624
